DATE,SOFR30DAYAVG
2018-09-27,1.9448
2018-09-28,1.95181
2018-10-01,1.98253
2018-10-02,1.99088
2018-10-03,1.99856
2018-10-04,2.00624
2018-10-05,2.01392
2018-10-08,.
2018-10-09,2.04295
2018-10-10,2.04996
2018-10-11,2.05697
2018-10-12,2.06465
2018-10-15,2.08835
2018-10-16,2.09704
2018-10-17,2.10472
2018-10-18,2.11073
2018-10-19,2.11908
2018-10-22,2.14612
2018-10-23,2.1548
2018-10-24,2.16315
2018-10-25,2.17083
2018-10-26,2.17951
2018-10-29,2.18752
2018-10-30,2.18519
2018-10-31,2.18285
2018-11-01,2.18285
2018-11-02,2.18352
2018-11-05,2.19053
2018-11-06,2.19321
2018-11-07,2.19522
2018-11-08,2.19589
2018-11-09,2.19789
2018-11-12,.
2018-11-13,2.20188
2018-11-14,2.20255
2018-11-15,2.20222
2018-11-16,2.20556
2018-11-19,2.2129
2018-11-20,2.21457
2018-11-21,2.21491
2018-11-22,.
2018-11-23,2.21523
2018-11-26,2.21957
2018-11-27,2.21991
2018-11-28,2.21991
2018-11-29,2.22024
2018-11-30,2.22225
2018-12-03,2.22725
2018-12-04,2.22659
2018-12-05,.
2018-12-06,2.22825
2018-12-07,2.23226
2018-12-10,2.24261
2018-12-11,2.24329
2018-12-12,2.24296
2018-12-13,2.24296
2018-12-14,2.24329
2018-12-17,2.23961
2018-12-18,2.24129
2018-12-19,2.24329
2018-12-20,2.2453
2018-12-21,2.25231
2018-12-24,2.27268
2018-12-25,.
2018-12-26,2.2847
2018-12-27,2.29271
2018-12-28,2.30106
2018-12-31,2.32343
2019-01-01,.
2019-01-02,2.37152
2019-01-03,2.40224
2019-01-04,2.41661
2019-01-07,2.4313
2019-01-08,2.43497
2019-01-09,2.43898
2019-01-10,2.44666
2019-01-11,2.45468
2019-01-14,2.47505
2019-01-15,2.4814
2019-01-16,2.48975
2019-01-17,2.49375
2019-01-18,2.49676
2019-01-21,.
2019-01-22,2.50242
2019-01-23,2.50276
2019-01-24,2.50243
2019-01-25,2.50243
2019-01-28,2.49775
2019-01-29,2.49541
2019-01-30,2.49341
2019-01-31,2.47304
2019-02-01,2.45902
2019-02-04,2.42929
2019-02-05,2.42762
2019-02-06,2.42595
2019-02-07,2.42495
2019-02-08,2.42361
2019-02-11,2.4176
2019-02-12,2.41727
2019-02-13,2.4166
2019-02-14,2.41593
2019-02-15,2.4136
2019-02-18,.
2019-02-19,2.41493
2019-02-20,2.41426
2019-02-21,2.41326
2019-02-22,2.41259
2019-02-25,2.41225
2019-02-26,2.41159
2019-02-27,2.41092
2019-02-28,2.41026
2019-03-01,2.41627
2019-03-04,2.40624
2019-03-05,2.40324
2019-03-06,2.40024
2019-03-07,2.39957
2019-03-08,2.3989
2019-03-11,2.40023
2019-03-12,2.40057
2019-03-13,2.40124
2019-03-14,2.40124
2019-03-15,2.40224
2019-03-18,2.40825
2019-03-19,2.4076
2019-03-20,2.40727
2019-03-21,2.4086
2019-03-22,2.40994
2019-03-25,2.4106
2019-03-26,2.41061
2019-03-27,2.41061
2019-03-28,2.41127
2019-03-29,2.41294
2019-04-01,2.43364
2019-04-02,2.43632
2019-04-03,2.43899
2019-04-04,2.442
2019-04-05,2.44467
2019-04-08,2.45234
2019-04-09,2.45469
2019-04-10,2.45669
2019-04-11,2.45903
2019-04-12,2.4607
2019-04-15,2.46203
2019-04-16,2.46237
2019-04-17,2.4627
2019-04-18,2.46571
2019-04-19,.
2019-04-22,2.4747
2019-04-23,2.47671
2019-04-24,2.47872
2019-04-25,2.48005
2019-04-26,2.48172
2019-04-29,2.47838
2019-04-30,2.47271
2019-05-01,2.47638
2019-05-02,2.47905
2019-05-03,2.48039
2019-05-06,2.47704
2019-05-07,2.47571
2019-05-08,2.47505
2019-05-09,2.47404
2019-05-10,2.47271
2019-05-13,2.46836
2019-05-14,2.46636
2019-05-15,2.46469
2019-05-16,2.46503
2019-05-17,2.46369
2019-05-20,2.45569
2019-05-21,2.45202
2019-05-22,2.44801
2019-05-23,2.44501
2019-05-24,2.442
2019-05-27,.
2019-05-28,2.43096
2019-05-29,2.42929
2019-05-30,2.42662
2019-05-31,2.4146
2019-06-03,2.41459
2019-06-04,2.4136
2019-06-05,2.41226
2019-06-06,2.41159
2019-06-07,2.41026
2019-06-10,2.40791
2019-06-11,2.40758
2019-06-12,2.40692
2019-06-13,2.40658
2019-06-14,2.40525
2019-06-17,2.39589
2019-06-18,2.39556
2019-06-19,2.39456
2019-06-20,2.39356
2019-06-21,2.39289
2019-06-24,2.39289
2019-06-25,2.39357
2019-06-26,2.39491
2019-06-27,2.39691
2019-06-28,2.39725
2019-07-01,2.40426
2019-07-02,2.40192
2019-07-03,2.40259
2019-07-04,.
2019-07-05,2.41361
2019-07-08,2.43297
2019-07-09,2.43598
2019-07-10,2.43798
2019-07-11,2.44032
2019-07-12,2.44132
2019-07-15,2.44165
2019-07-16,2.44533
2019-07-17,2.44934
2019-07-18,2.45134
2019-07-19,2.45368
2019-07-22,2.45835
2019-07-23,2.45936
2019-07-24,2.46036
2019-07-25,2.46103
2019-07-26,2.46136
2019-07-29,2.45735
2019-07-30,2.45402
2019-07-31,2.45034
2019-08-01,2.45468
2019-08-02,2.444
2019-08-05,2.40593
2019-08-06,2.39057
2019-08-07,2.37454
2019-08-08,2.36185
2019-08-09,2.34983
2019-08-12,2.31977
2019-08-13,2.31176
2019-08-14,2.30508
2019-08-15,2.29406
2019-08-16,2.28437
2019-08-19,2.25265
2019-08-20,2.24264
2019-08-21,2.23329
2019-08-22,2.22327
2019-08-23,2.21292
2019-08-26,2.18153
2019-08-27,2.17118
2019-08-28,2.1625
2019-08-29,2.15315
2019-08-30,2.14413
2019-09-02,.
2019-09-03,2.12809
2019-09-04,2.12742
2019-09-05,2.1301
2019-09-06,2.13343
2019-09-09,2.13844
2019-09-10,2.13878
2019-09-11,2.13978
2019-09-12,2.14078
2019-09-13,2.14212
2019-09-16,2.14745
2019-09-17,2.15747
2019-09-18,2.26166
2019-09-19,2.27635
2019-09-20,2.27034
2019-09-23,2.24663
2019-09-24,2.23828
2019-09-25,2.23361
2019-09-26,2.2306
2019-09-27,2.22058
2019-09-30,2.1892
2019-10-01,2.19555
2019-10-02,2.18621
2019-10-03,2.17585
2019-10-04,2.16484
2019-10-07,2.12777
2019-10-08,2.11709
2019-10-09,2.10707
2019-10-10,2.09806
2019-10-11,2.08837
2019-10-14,.
2019-10-15,2.04329
2019-10-16,2.03662
2019-10-17,2.02393
2019-10-18,1.91376
2019-10-21,1.88972
2019-10-22,1.88972
2019-10-23,1.89006
2019-10-24,1.89072
2019-10-25,1.88739
2019-10-28,1.88204
2019-10-29,1.88204
2019-10-30,1.88171
2019-10-31,1.86402
2019-11-01,1.86001
2019-11-04,1.83431
2019-11-05,1.82563
2019-11-06,1.81762
2019-11-07,1.80894
2019-11-08,1.79926
2019-11-11,.
2019-11-12,1.76054
2019-11-13,1.75119
2019-11-14,1.74185
2019-11-15,1.72783
2019-11-18,1.69078
2019-11-19,1.6801
2019-11-20,1.66975
2019-11-21,1.66007
2019-11-22,1.65039
2019-11-25,1.62269
2019-11-26,1.61335
2019-11-27,1.60333
2019-11-28,.
2019-11-29,1.58564
2019-12-02,1.57863
2019-12-03,1.5803
2019-12-04,1.5793
2019-12-05,1.57863
2019-12-06,1.57763
2019-12-09,1.5763
2019-12-10,1.5763
2019-12-11,1.57597
2019-12-12,1.5753
2019-12-13,1.57397
2019-12-16,1.56996
2019-12-17,1.57096
2019-12-18,1.56929
2019-12-19,1.56829
2019-12-20,1.56696
2019-12-23,1.56228
2019-12-24,1.56028
2019-12-25,.
2019-12-26,1.55694
2019-12-27,1.55628
2019-12-30,1.55094
2019-12-31,1.54727
2020-01-01,.
2020-01-02,1.54126
2020-01-03,1.54092
2020-01-06,1.54126
2020-01-07,1.54126
2020-01-08,1.54159
2020-01-09,1.54126
2020-01-10,1.54126
2020-01-13,1.54259
2020-01-14,1.54259
2020-01-15,1.54293
2020-01-16,1.54092
2020-01-17,1.54126
2020-01-20,.
2020-01-21,1.54259
2020-01-22,1.54292
2020-01-23,1.54359
2020-01-24,1.54426
2020-01-27,1.54492
2020-01-28,1.54493
2020-01-29,1.54493
2020-01-30,1.54459
2020-01-31,1.5456
2020-02-03,1.55093
2020-02-04,1.55227
2020-02-05,1.55394
2020-02-06,1.55527
2020-02-07,1.55627
2020-02-10,1.55928
2020-02-11,1.56028
2020-02-12,1.56128
2020-02-13,1.56228
2020-02-14,1.56295
2020-02-17,.
2020-02-18,1.56729
2020-02-19,1.56929
2020-02-20,1.57096
2020-02-21,1.57296
2020-02-24,1.5773
2020-02-25,1.57897
2020-02-26,1.58097
2020-02-27,1.58264
2020-02-28,1.58431
2020-03-02,1.58731
2020-03-03,1.5869799999999998
2020-03-04,1.58831
2020-03-05,1.5763
2020-03-06,1.56028
2020-03-09,1.51155
2020-03-10,1.4952
2020-03-11,1.4795200000000002
2020-03-12,1.46517
2020-03-13,1.45248
2020-03-16,1.4051
2020-03-17,1.36105
2020-03-18,1.32635
2020-03-19,1.2769700000000002
2020-03-20,1.22558
2020-03-23,1.07044
2020-03-24,1.0184
2020-03-25,0.9660200000000001
2020-03-26,0.91365
2020-03-27,0.86095
2020-03-30,0.70318
2020-03-31,0.6501600000000001
2020-04-01,0.59713
2020-04-02,0.5444399999999999
2020-04-03,0.49008999999999997
2020-04-06,0.37605
2020-04-07,0.33971
2020-04-08,0.30336
2020-04-09,0.26736
2020-04-10,.
2020-04-13,0.11667000000000001
2020-04-14,0.08067
2020-04-15,0.046
2020-04-16,0.03833
2020-04-17,0.021330000000000002
2020-04-20,0.017669999999999998
2020-04-21,0.017
2020-04-22,0.016
2020-04-23,0.01567
2020-04-24,0.01567
2020-04-27,0.017669999999999998
2020-04-28,0.018330000000000003
2020-04-29,0.018330000000000003
2020-04-30,0.018330000000000003
2020-05-01,0.01933
2020-05-04,0.021330000000000002
2020-05-05,0.02267
2020-05-06,0.024
2020-05-07,0.025330000000000002
2020-05-08,0.02667
2020-05-11,0.03167
2020-05-12,0.03333
2020-05-13,0.035
2020-05-14,0.03567
2020-05-15,0.03433
2020-05-18,0.03633
2020-05-19,0.03667
2020-05-20,0.037
2020-05-21,0.03667
2020-05-22,0.037
2020-05-25,.
2020-05-26,0.03967
2020-05-27,0.04067
2020-05-28,0.04167
2020-05-29,0.04333
2020-06-01,0.046669999999999996
2020-06-02,0.04767
2020-06-03,0.049
2020-06-04,0.04933
2020-06-05,0.05
2020-06-08,0.05167000000000001
2020-06-09,0.052
2020-06-10,0.05267
2020-06-11,0.053
2020-06-12,0.05367
2020-06-15,0.058
2020-06-16,0.059329999999999994
2020-06-17,0.06067
2020-06-18,0.062329999999999997
2020-06-19,0.064
2020-06-22,0.07067000000000001
2020-06-23,0.072
2020-06-24,0.073
2020-06-25,0.07434
2020-06-26,0.07534
2020-06-29,0.07733999999999999
2020-06-30,0.078
2020-07-01,0.07934
2020-07-02,0.081
2020-07-03,.
