"Date","DFEDTARL","DFEDTARU","IORR","sdate","weekday"
"1/26/2018",25,50,50,2018-01-26,"Friday"
"1/29/2018",25,50,50,2018-01-29,"Monday"
"1/30/2018",25,50,50,2018-01-30,"Tuesday"
"1/31/2018",25,50,50,2018-01-31,"Wednesday"
"2/1/2018",25,50,50,2018-02-01,"Thursday"
"2/2/2018",25,50,50,2018-02-02,"Friday"
"2/5/2018",25,50,50,2018-02-05,"Monday"
"2/6/2018",25,50,50,2018-02-06,"Tuesday"
"2/7/2018",25,50,50,2018-02-07,"Wednesday"
"2/8/2018",25,50,50,2018-02-08,"Thursday"
"2/9/2018",25,50,50,2018-02-09,"Friday"
"2/12/2018",25,50,50,2018-02-12,"Monday"
"2/13/2018",25,50,50,2018-02-13,"Tuesday"
"2/14/2018",25,50,50,2018-02-14,"Wednesday"
"2/15/2018",25,50,50,2018-02-15,"Thursday"
"2/16/2018",25,50,50,2018-02-16,"Friday"
"2/19/2018",25,50,50,2018-02-19,"Monday"
"2/20/2018",25,50,50,2018-02-20,"Tuesday"
"2/21/2018",25,50,50,2018-02-21,"Wednesday"
"2/22/2018",25,50,50,2018-02-22,"Thursday"
"2/23/2018",25,50,50,2018-02-23,"Friday"
"2/26/2018",25,50,50,2018-02-26,"Monday"
"2/27/2018",25,50,50,2018-02-27,"Tuesday"
"2/28/2018",25,50,50,2018-02-28,"Wednesday"
"3/1/2018",25,50,50,2018-03-01,"Thursday"
"3/2/2018",25,50,50,2018-03-02,"Friday"
"3/5/2018",25,50,50,2018-03-05,"Monday"
"3/6/2018",25,50,50,2018-03-06,"Tuesday"
"3/7/2018",25,50,50,2018-03-07,"Wednesday"
"3/8/2018",25,50,50,2018-03-08,"Thursday"
"3/9/2018",25,50,50,2018-03-09,"Friday"
"3/12/2018",25,50,50,2018-03-12,"Monday"
"3/13/2018",25,50,50,2018-03-13,"Tuesday"
"3/14/2018",25,50,50,2018-03-14,"Wednesday"
"3/15/2018",25,50,50,2018-03-15,"Thursday"
"3/16/2018",25,50,50,2018-03-16,"Friday"
"3/19/2018",25,50,50,2018-03-19,"Monday"
"3/20/2018",25,50,50,2018-03-20,"Tuesday"
"3/21/2018",25,50,50,2018-03-21,"Wednesday"
"3/22/2018",25,50,50,2018-03-22,"Thursday"
"3/23/2018",25,50,50,2018-03-23,"Friday"
"3/26/2018",25,50,50,2018-03-26,"Monday"
"3/27/2018",25,50,50,2018-03-27,"Tuesday"
"3/28/2018",25,50,50,2018-03-28,"Wednesday"
"3/29/2018",25,50,50,2018-03-29,"Thursday"
"3/30/2018",25,50,50,2018-03-30,"Friday"
"4/2/2018",25,50,50,2018-04-02,"Monday"
"4/3/2018",25,50,50,2018-04-03,"Tuesday"
"4/4/2018",25,50,50,2018-04-04,"Wednesday"
"4/5/2018",25,50,50,2018-04-05,"Thursday"
"4/6/2018",25,50,50,2018-04-06,"Friday"
"4/9/2018",25,50,50,2018-04-09,"Monday"
"4/10/2018",25,50,50,2018-04-10,"Tuesday"
"4/11/2018",25,50,50,2018-04-11,"Wednesday"
"4/12/2018",25,50,50,2018-04-12,"Thursday"
"4/13/2018",25,50,50,2018-04-13,"Friday"
"4/16/2018",25,50,50,2018-04-16,"Monday"
"4/17/2018",25,50,50,2018-04-17,"Tuesday"
"4/18/2018",25,50,50,2018-04-18,"Wednesday"
"4/19/2018",25,50,50,2018-04-19,"Thursday"
"4/20/2018",25,50,50,2018-04-20,"Friday"
"4/23/2018",25,50,50,2018-04-23,"Monday"
"4/24/2018",25,50,50,2018-04-24,"Tuesday"
"4/25/2018",25,50,50,2018-04-25,"Wednesday"
"4/26/2018",25,50,50,2018-04-26,"Thursday"
"4/27/2018",25,50,50,2018-04-27,"Friday"
"4/30/2018",25,50,50,2018-04-30,"Monday"
"5/1/2018",25,50,50,2018-05-01,"Tuesday"
"5/2/2018",25,50,50,2018-05-02,"Wednesday"
"5/3/2018",25,50,50,2018-05-03,"Thursday"
"5/4/2018",25,50,50,2018-05-04,"Friday"
"5/7/2018",25,50,50,2018-05-07,"Monday"
"5/8/2018",25,50,50,2018-05-08,"Tuesday"
"5/9/2018",25,50,50,2018-05-09,"Wednesday"
"5/10/2018",25,50,50,2018-05-10,"Thursday"
"5/11/2018",25,50,50,2018-05-11,"Friday"
"5/14/2018",25,50,50,2018-05-14,"Monday"
"5/15/2018",25,50,50,2018-05-15,"Tuesday"
"5/16/2018",25,50,50,2018-05-16,"Wednesday"
"5/17/2018",25,50,50,2018-05-17,"Thursday"
"5/18/2018",25,50,50,2018-05-18,"Friday"
"5/21/2018",25,50,50,2018-05-21,"Monday"
"5/22/2018",25,50,50,2018-05-22,"Tuesday"
"5/23/2018",25,50,50,2018-05-23,"Wednesday"
"5/24/2018",25,50,50,2018-05-24,"Thursday"
"5/25/2018",25,50,50,2018-05-25,"Friday"
"5/28/2018",25,50,50,2018-05-28,"Monday"
"5/29/2018",25,50,50,2018-05-29,"Tuesday"
"5/30/2018",25,50,50,2018-05-30,"Wednesday"
"5/31/2018",25,50,50,2018-05-31,"Thursday"
"6/1/2018",25,50,50,2018-06-01,"Friday"
"6/4/2018",25,50,50,2018-06-04,"Monday"
"6/5/2018",25,50,50,2018-06-05,"Tuesday"
"6/6/2018",25,50,50,2018-06-06,"Wednesday"
"6/7/2018",25,50,50,2018-06-07,"Thursday"
"6/8/2018",25,50,50,2018-06-08,"Friday"
"6/11/2018",25,50,50,2018-06-11,"Monday"
"6/12/2018",25,50,50,2018-06-12,"Tuesday"
"6/13/2018",25,50,50,2018-06-13,"Wednesday"
"6/14/2018",25,50,50,2018-06-14,"Thursday"
"6/15/2018",25,50,50,2018-06-15,"Friday"
"6/18/2018",25,50,50,2018-06-18,"Monday"
"6/19/2018",25,50,50,2018-06-19,"Tuesday"
"6/20/2018",25,50,50,2018-06-20,"Wednesday"
"6/21/2018",25,50,50,2018-06-21,"Thursday"
"6/22/2018",25,50,50,2018-06-22,"Friday"
"6/25/2018",25,50,50,2018-06-25,"Monday"
"6/26/2018",25,50,50,2018-06-26,"Tuesday"
"6/27/2018",25,50,50,2018-06-27,"Wednesday"
"6/28/2018",25,50,50,2018-06-28,"Thursday"
"6/29/2018",25,50,50,2018-06-29,"Friday"
"7/2/2018",25,50,50,2018-07-02,"Monday"
"7/3/2018",25,50,50,2018-07-03,"Tuesday"
"7/4/2018",25,50,50,2018-07-04,"Wednesday"
"7/5/2018",25,50,50,2018-07-05,"Thursday"
"7/6/2018",25,50,50,2018-07-06,"Friday"
"7/9/2018",25,50,50,2018-07-09,"Monday"
"7/10/2018",25,50,50,2018-07-10,"Tuesday"
"7/11/2018",25,50,50,2018-07-11,"Wednesday"
"7/12/2018",25,50,50,2018-07-12,"Thursday"
"7/13/2018",25,50,50,2018-07-13,"Friday"
"7/16/2018",25,50,50,2018-07-16,"Monday"
"7/17/2018",25,50,50,2018-07-17,"Tuesday"
"7/18/2018",25,50,50,2018-07-18,"Wednesday"
"7/19/2018",25,50,50,2018-07-19,"Thursday"
"7/20/2018",25,50,50,2018-07-20,"Friday"
"7/23/2018",25,50,50,2018-07-23,"Monday"
"7/24/2018",25,50,50,2018-07-24,"Tuesday"
"7/25/2018",25,50,50,2018-07-25,"Wednesday"
"7/26/2018",25,50,50,2018-07-26,"Thursday"
"7/27/2018",25,50,50,2018-07-27,"Friday"
"7/30/2018",25,50,50,2018-07-30,"Monday"
"7/31/2018",25,50,50,2018-07-31,"Tuesday"
"8/1/2018",25,50,50,2018-08-01,"Wednesday"
"8/2/2018",25,50,50,2018-08-02,"Thursday"
"8/3/2018",25,50,50,2018-08-03,"Friday"
"8/6/2018",25,50,50,2018-08-06,"Monday"
"8/7/2018",25,50,50,2018-08-07,"Tuesday"
"8/8/2018",25,50,50,2018-08-08,"Wednesday"
"8/9/2018",25,50,50,2018-08-09,"Thursday"
"8/10/2018",25,50,50,2018-08-10,"Friday"
"8/13/2018",25,50,50,2018-08-13,"Monday"
"8/14/2018",25,50,50,2018-08-14,"Tuesday"
"8/15/2018",25,50,50,2018-08-15,"Wednesday"
"8/16/2018",25,50,50,2018-08-16,"Thursday"
"8/17/2018",25,50,50,2018-08-17,"Friday"
"8/20/2018",25,50,50,2018-08-20,"Monday"
"8/21/2018",25,50,50,2018-08-21,"Tuesday"
"8/22/2018",25,50,50,2018-08-22,"Wednesday"
"8/23/2018",25,50,50,2018-08-23,"Thursday"
"8/24/2018",25,50,50,2018-08-24,"Friday"
"8/27/2018",25,50,50,2018-08-27,"Monday"
"8/28/2018",25,50,50,2018-08-28,"Tuesday"
"8/29/2018",25,50,50,2018-08-29,"Wednesday"
"8/30/2018",25,50,50,2018-08-30,"Thursday"
"8/31/2018",25,50,50,2018-08-31,"Friday"
"9/3/2018",25,50,50,2018-09-03,"Monday"
"9/4/2018",25,50,50,2018-09-04,"Tuesday"
"9/5/2018",25,50,50,2018-09-05,"Wednesday"
"9/6/2018",25,50,50,2018-09-06,"Thursday"
"9/7/2018",25,50,50,2018-09-07,"Friday"
"9/10/2018",25,50,50,2018-09-10,"Monday"
"9/11/2018",25,50,50,2018-09-11,"Tuesday"
"9/12/2018",25,50,50,2018-09-12,"Wednesday"
"9/13/2018",25,50,50,2018-09-13,"Thursday"
"9/14/2018",25,50,50,2018-09-14,"Friday"
"9/17/2018",25,50,50,2018-09-17,"Monday"
"9/18/2018",25,50,50,2018-09-18,"Tuesday"
"9/19/2018",25,50,50,2018-09-19,"Wednesday"
"9/20/2018",25,50,50,2018-09-20,"Thursday"
"9/21/2018",25,50,50,2018-09-21,"Friday"
"9/24/2018",25,50,50,2018-09-24,"Monday"
"9/25/2018",25,50,50,2018-09-25,"Tuesday"
"9/26/2018",25,50,50,2018-09-26,"Wednesday"
"9/27/2018",25,50,50,2018-09-27,"Thursday"
"9/28/2018",25,50,50,2018-09-28,"Friday"
"10/1/2018",25,50,50,2018-10-01,"Monday"
"10/2/2018",25,50,50,2018-10-02,"Tuesday"
"10/3/2018",25,50,50,2018-10-03,"Wednesday"
"10/4/2018",25,50,50,2018-10-04,"Thursday"
"10/5/2018",25,50,50,2018-10-05,"Friday"
"10/8/2018",25,50,50,2018-10-08,"Monday"
"10/9/2018",25,50,50,2018-10-09,"Tuesday"
"10/10/2018",25,50,50,2018-10-10,"Wednesday"
"10/11/2018",25,50,50,2018-10-11,"Thursday"
"10/12/2018",25,50,50,2018-10-12,"Friday"
"10/15/2018",25,50,50,2018-10-15,"Monday"
"10/16/2018",25,50,50,2018-10-16,"Tuesday"
"10/17/2018",25,50,50,2018-10-17,"Wednesday"
"10/18/2018",25,50,50,2018-10-18,"Thursday"
"10/19/2018",25,50,50,2018-10-19,"Friday"
"10/22/2018",25,50,50,2018-10-22,"Monday"
"10/23/2018",25,50,50,2018-10-23,"Tuesday"
"10/24/2018",25,50,50,2018-10-24,"Wednesday"
"10/25/2018",25,50,50,2018-10-25,"Thursday"
"10/26/2018",25,50,50,2018-10-26,"Friday"
"10/29/2018",25,50,50,2018-10-29,"Monday"
"10/30/2018",25,50,50,2018-10-30,"Tuesday"
"10/31/2018",25,50,50,2018-10-31,"Wednesday"
"11/1/2018",25,50,50,2018-11-01,"Thursday"
"11/2/2018",25,50,50,2018-11-02,"Friday"
"11/5/2018",25,50,50,2018-11-05,"Monday"
"11/6/2018",25,50,50,2018-11-06,"Tuesday"
"11/7/2018",25,50,50,2018-11-07,"Wednesday"
"11/8/2018",25,50,50,2018-11-08,"Thursday"
"11/9/2018",25,50,50,2018-11-09,"Friday"
"11/12/2018",25,50,50,2018-11-12,"Monday"
"11/13/2018",25,50,50,2018-11-13,"Tuesday"
"11/14/2018",25,50,50,2018-11-14,"Wednesday"
"11/15/2018",25,50,50,2018-11-15,"Thursday"
"11/16/2018",25,50,50,2018-11-16,"Friday"
"11/19/2018",25,50,50,2018-11-19,"Monday"
"11/20/2018",25,50,50,2018-11-20,"Tuesday"
"11/21/2018",25,50,50,2018-11-21,"Wednesday"
"11/22/2018",25,50,50,2018-11-22,"Thursday"
"11/23/2018",25,50,50,2018-11-23,"Friday"
"11/26/2018",25,50,50,2018-11-26,"Monday"
"11/27/2018",25,50,50,2018-11-27,"Tuesday"
"11/28/2018",25,50,50,2018-11-28,"Wednesday"
"11/29/2018",25,50,50,2018-11-29,"Thursday"
"11/30/2018",25,50,50,2018-11-30,"Friday"
"12/3/2018",25,50,50,2018-12-03,"Monday"
"12/4/2018",25,50,50,2018-12-04,"Tuesday"
"12/5/2018",25,50,50,2018-12-05,"Wednesday"
"12/6/2018",25,50,50,2018-12-06,"Thursday"
"12/7/2018",25,50,50,2018-12-07,"Friday"
"12/10/2018",25,50,50,2018-12-10,"Monday"
"12/11/2018",25,50,50,2018-12-11,"Tuesday"
"12/12/2018",25,50,50,2018-12-12,"Wednesday"
"12/13/2018",25,50,50,2018-12-13,"Thursday"
"12/14/2018",25,50,50,2018-12-14,"Friday"
"12/17/2018",25,50,50,2018-12-17,"Monday"
"12/18/2018",25,50,50,2018-12-18,"Tuesday"
"12/19/2018",25,50,50,2018-12-19,"Wednesday"
"12/20/2018",25,50,50,2018-12-20,"Thursday"
"12/21/2018",25,50,50,2018-12-21,"Friday"
"12/24/2018",25,50,50,2018-12-24,"Monday"
"12/25/2018",25,50,50,2018-12-25,"Tuesday"
"12/26/2018",25,50,50,2018-12-26,"Wednesday"
"12/27/2018",25,50,50,2018-12-27,"Thursday"
"12/28/2018",25,50,50,2018-12-28,"Friday"
"12/31/2018",25,50,50,2018-12-31,"Monday"
"1/1/2019",25,50,50,2019-01-01,"Tuesday"
"1/2/2019",25,50,50,2019-01-02,"Wednesday"
"1/3/2019",25,50,50,2019-01-03,"Thursday"
"1/4/2019",25,50,50,2019-01-04,"Friday"
"1/7/2019",25,50,50,2019-01-07,"Monday"
"1/8/2019",25,50,50,2019-01-08,"Tuesday"
"1/9/2019",25,50,50,2019-01-09,"Wednesday"
"1/10/2019",25,50,50,2019-01-10,"Thursday"
"1/11/2019",25,50,50,2019-01-11,"Friday"
"1/14/2019",25,50,50,2019-01-14,"Monday"
"1/15/2019",25,50,50,2019-01-15,"Tuesday"
"1/16/2019",25,50,50,2019-01-16,"Wednesday"
"1/17/2019",25,50,50,2019-01-17,"Thursday"
"1/18/2019",25,50,50,2019-01-18,"Friday"
"1/21/2019",25,50,50,2019-01-21,"Monday"
"1/22/2019",25,50,50,2019-01-22,"Tuesday"
"1/23/2019",25,50,50,2019-01-23,"Wednesday"
"1/24/2019",25,50,50,2019-01-24,"Thursday"
"1/25/2019",25,50,50,2019-01-25,"Friday"
"1/28/2019",25,50,50,2019-01-28,"Monday"
"1/29/2019",25,50,50,2019-01-29,"Tuesday"
"1/30/2019",25,50,50,2019-01-30,"Wednesday"
"1/31/2019",25,50,50,2019-01-31,"Thursday"
"2/1/2019",25,50,50,2019-02-01,"Friday"
"2/4/2019",25,50,50,2019-02-04,"Monday"
"2/5/2019",25,50,50,2019-02-05,"Tuesday"
"2/6/2019",25,50,50,2019-02-06,"Wednesday"
"2/7/2019",25,50,50,2019-02-07,"Thursday"
"2/8/2019",25,50,50,2019-02-08,"Friday"
"2/11/2019",25,50,50,2019-02-11,"Monday"
"2/12/2019",25,50,50,2019-02-12,"Tuesday"
"2/13/2019",25,50,50,2019-02-13,"Wednesday"
"2/14/2019",25,50,50,2019-02-14,"Thursday"
"2/15/2019",25,50,50,2019-02-15,"Friday"
"2/18/2019",25,50,50,2019-02-18,"Monday"
"2/19/2019",25,50,50,2019-02-19,"Tuesday"
"2/20/2019",25,50,50,2019-02-20,"Wednesday"
"2/21/2019",25,50,50,2019-02-21,"Thursday"
"2/22/2019",25,50,50,2019-02-22,"Friday"
"2/25/2019",25,50,50,2019-02-25,"Monday"
"2/26/2019",25,50,50,2019-02-26,"Tuesday"
"2/27/2019",25,50,50,2019-02-27,"Wednesday"
"2/28/2019",25,50,50,2019-02-28,"Thursday"
"3/1/2019",25,50,50,2019-03-01,"Friday"
"3/4/2019",25,50,50,2019-03-04,"Monday"
"3/5/2019",25,50,50,2019-03-05,"Tuesday"
"3/6/2019",25,50,50,2019-03-06,"Wednesday"
"3/7/2019",25,50,50,2019-03-07,"Thursday"
"3/8/2019",25,50,50,2019-03-08,"Friday"
"3/11/2019",25,50,50,2019-03-11,"Monday"
"3/12/2019",25,50,50,2019-03-12,"Tuesday"
"3/13/2019",25,50,50,2019-03-13,"Wednesday"
"3/14/2019",25,50,50,2019-03-14,"Thursday"
"3/15/2019",25,50,50,2019-03-15,"Friday"
"3/18/2019",25,50,50,2019-03-18,"Monday"
"3/19/2019",25,50,50,2019-03-19,"Tuesday"
"3/20/2019",25,50,50,2019-03-20,"Wednesday"
"3/21/2019",25,50,50,2019-03-21,"Thursday"
"3/22/2019",25,50,50,2019-03-22,"Friday"
"3/25/2019",25,50,50,2019-03-25,"Monday"
"3/26/2019",25,50,50,2019-03-26,"Tuesday"
"3/27/2019",25,50,50,2019-03-27,"Wednesday"
"3/28/2019",25,50,50,2019-03-28,"Thursday"
"3/29/2019",25,50,50,2019-03-29,"Friday"
"4/1/2019",25,50,50,2019-04-01,"Monday"
"4/2/2019",25,50,50,2019-04-02,"Tuesday"
"4/3/2019",25,50,50,2019-04-03,"Wednesday"
"4/4/2019",25,50,50,2019-04-04,"Thursday"
"4/5/2019",25,50,50,2019-04-05,"Friday"
"4/8/2019",25,50,50,2019-04-08,"Monday"
"4/9/2019",25,50,50,2019-04-09,"Tuesday"
"4/10/2019",25,50,50,2019-04-10,"Wednesday"
"4/11/2019",25,50,50,2019-04-11,"Thursday"
"4/12/2019",25,50,50,2019-04-12,"Friday"
"4/15/2019",25,50,50,2019-04-15,"Monday"
"4/16/2019",25,50,50,2019-04-16,"Tuesday"
"4/17/2019",25,50,50,2019-04-17,"Wednesday"
"4/18/2019",25,50,50,2019-04-18,"Thursday"
"4/19/2019",25,50,50,2019-04-19,"Friday"
"4/22/2019",25,50,50,2019-04-22,"Monday"
"4/23/2019",25,50,50,2019-04-23,"Tuesday"
"4/24/2019",25,50,50,2019-04-24,"Wednesday"
"4/25/2019",25,50,50,2019-04-25,"Thursday"
"4/26/2019",25,50,50,2019-04-26,"Friday"
"4/29/2019",25,50,50,2019-04-29,"Monday"
"4/30/2019",25,50,50,2019-04-30,"Tuesday"
"5/1/2019",25,50,50,2019-05-01,"Wednesday"
"5/2/2019",25,50,50,2019-05-02,"Thursday"
"5/3/2019",25,50,50,2019-05-03,"Friday"
"5/6/2019",25,50,50,2019-05-06,"Monday"
"5/7/2019",25,50,50,2019-05-07,"Tuesday"
"5/8/2019",25,50,50,2019-05-08,"Wednesday"
"5/9/2019",25,50,50,2019-05-09,"Thursday"
"5/10/2019",25,50,50,2019-05-10,"Friday"
"5/13/2019",25,50,50,2019-05-13,"Monday"
"5/14/2019",25,50,50,2019-05-14,"Tuesday"
"5/15/2019",25,50,50,2019-05-15,"Wednesday"
"5/16/2019",25,50,50,2019-05-16,"Thursday"
"5/17/2019",25,50,50,2019-05-17,"Friday"
"5/20/2019",25,50,50,2019-05-20,"Monday"
"5/21/2019",25,50,50,2019-05-21,"Tuesday"
"5/22/2019",25,50,50,2019-05-22,"Wednesday"
"5/23/2019",25,50,50,2019-05-23,"Thursday"
"5/24/2019",25,50,50,2019-05-24,"Friday"
"5/27/2019",25,50,50,2019-05-27,"Monday"
"5/28/2019",25,50,50,2019-05-28,"Tuesday"
"5/29/2019",25,50,50,2019-05-29,"Wednesday"
"5/30/2019",25,50,50,2019-05-30,"Thursday"
"5/31/2019",25,50,50,2019-05-31,"Friday"
"6/3/2019",25,50,50,2019-06-03,"Monday"
"6/4/2019",25,50,50,2019-06-04,"Tuesday"
"6/5/2019",25,50,50,2019-06-05,"Wednesday"
"6/6/2019",25,50,50,2019-06-06,"Thursday"
"6/7/2019",25,50,50,2019-06-07,"Friday"
"6/10/2019",25,50,50,2019-06-10,"Monday"
"6/11/2019",25,50,50,2019-06-11,"Tuesday"
"6/12/2019",25,50,50,2019-06-12,"Wednesday"
"6/13/2019",25,50,50,2019-06-13,"Thursday"
"6/14/2019",25,50,50,2019-06-14,"Friday"
"6/17/2019",25,50,50,2019-06-17,"Monday"
"6/18/2019",25,50,50,2019-06-18,"Tuesday"
"6/19/2019",25,50,50,2019-06-19,"Wednesday"
"6/20/2019",25,50,50,2019-06-20,"Thursday"
"6/21/2019",25,50,50,2019-06-21,"Friday"
"6/24/2019",25,50,50,2019-06-24,"Monday"
"6/25/2019",25,50,50,2019-06-25,"Tuesday"
"6/26/2019",25,50,50,2019-06-26,"Wednesday"
"6/27/2019",25,50,50,2019-06-27,"Thursday"
"6/28/2019",25,50,50,2019-06-28,"Friday"
"7/1/2019",25,50,50,2019-07-01,"Monday"
"7/2/2019",25,50,50,2019-07-02,"Tuesday"
"7/3/2019",25,50,50,2019-07-03,"Wednesday"
"7/4/2019",25,50,50,2019-07-04,"Thursday"
"7/5/2019",25,50,50,2019-07-05,"Friday"
"7/8/2019",25,50,50,2019-07-08,"Monday"
"7/9/2019",25,50,50,2019-07-09,"Tuesday"
"7/10/2019",25,50,50,2019-07-10,"Wednesday"
"7/11/2019",25,50,50,2019-07-11,"Thursday"
"7/12/2019",25,50,50,2019-07-12,"Friday"
"7/15/2019",25,50,50,2019-07-15,"Monday"
"7/16/2019",25,50,50,2019-07-16,"Tuesday"
"7/17/2019",25,50,50,2019-07-17,"Wednesday"
"7/18/2019",25,50,50,2019-07-18,"Thursday"
"7/19/2019",25,50,50,2019-07-19,"Friday"
"7/22/2019",25,50,50,2019-07-22,"Monday"
"7/23/2019",25,50,50,2019-07-23,"Tuesday"
"7/24/2019",25,50,50,2019-07-24,"Wednesday"
"7/25/2019",25,50,50,2019-07-25,"Thursday"
"7/26/2019",25,50,50,2019-07-26,"Friday"
"7/29/2019",25,50,50,2019-07-29,"Monday"
"7/30/2019",25,50,50,2019-07-30,"Tuesday"
"7/31/2019",25,50,50,2019-07-31,"Wednesday"
"8/1/2019",25,50,50,2019-08-01,"Thursday"
"8/2/2019",25,50,50,2019-08-02,"Friday"
"8/5/2019",25,50,50,2019-08-05,"Monday"
"8/6/2019",25,50,50,2019-08-06,"Tuesday"
"8/7/2019",25,50,50,2019-08-07,"Wednesday"
"8/8/2019",25,50,50,2019-08-08,"Thursday"
"8/9/2019",25,50,50,2019-08-09,"Friday"
"8/12/2019",25,50,50,2019-08-12,"Monday"
"8/13/2019",25,50,50,2019-08-13,"Tuesday"
"8/14/2019",25,50,50,2019-08-14,"Wednesday"
"8/15/2019",25,50,50,2019-08-15,"Thursday"
"8/16/2019",25,50,50,2019-08-16,"Friday"
"8/19/2019",25,50,50,2019-08-19,"Monday"
"8/20/2019",25,50,50,2019-08-20,"Tuesday"
"8/21/2019",25,50,50,2019-08-21,"Wednesday"
"8/22/2019",25,50,50,2019-08-22,"Thursday"
"8/23/2019",25,50,50,2019-08-23,"Friday"
"8/26/2019",25,50,50,2019-08-26,"Monday"
"8/27/2019",25,50,50,2019-08-27,"Tuesday"
"8/28/2019",25,50,50,2019-08-28,"Wednesday"
"8/29/2019",25,50,50,2019-08-29,"Thursday"
"8/30/2019",25,50,50,2019-08-30,"Friday"
"9/2/2019",25,50,50,2019-09-02,"Monday"
"9/3/2019",25,50,50,2019-09-03,"Tuesday"
"9/4/2019",25,50,50,2019-09-04,"Wednesday"
"9/5/2019",25,50,50,2019-09-05,"Thursday"
"9/6/2019",25,50,50,2019-09-06,"Friday"
"9/9/2019",25,50,50,2019-09-09,"Monday"
"9/10/2019",25,50,50,2019-09-10,"Tuesday"
"9/11/2019",25,50,50,2019-09-11,"Wednesday"
"9/12/2019",25,50,50,2019-09-12,"Thursday"
"9/13/2019",25,50,50,2019-09-13,"Friday"
"9/16/2019",25,50,50,2019-09-16,"Monday"
"9/17/2019",25,50,50,2019-09-17,"Tuesday"
"9/18/2019",25,50,50,2019-09-18,"Wednesday"
"9/19/2019",25,50,50,2019-09-19,"Thursday"
"9/20/2019",25,50,50,2019-09-20,"Friday"
"9/23/2019",25,50,50,2019-09-23,"Monday"
"9/24/2019",25,50,50,2019-09-24,"Tuesday"
"9/25/2019",25,50,50,2019-09-25,"Wednesday"
"9/26/2019",25,50,50,2019-09-26,"Thursday"
"9/27/2019",25,50,50,2019-09-27,"Friday"
"9/30/2019",25,50,50,2019-09-30,"Monday"
"10/1/2019",25,50,50,2019-10-01,"Tuesday"
"10/2/2019",25,50,50,2019-10-02,"Wednesday"
"10/3/2019",25,50,50,2019-10-03,"Thursday"
"10/4/2019",25,50,50,2019-10-04,"Friday"
"10/7/2019",25,50,50,2019-10-07,"Monday"
"10/8/2019",25,50,50,2019-10-08,"Tuesday"
"10/9/2019",25,50,50,2019-10-09,"Wednesday"
"10/10/2019",25,50,50,2019-10-10,"Thursday"
"10/11/2019",25,50,50,2019-10-11,"Friday"
"10/14/2019",25,50,50,2019-10-14,"Monday"
"10/15/2019",25,50,50,2019-10-15,"Tuesday"
"10/16/2019",25,50,50,2019-10-16,"Wednesday"
"10/17/2019",25,50,50,2019-10-17,"Thursday"
"10/18/2019",25,50,50,2019-10-18,"Friday"
"10/21/2019",25,50,50,2019-10-21,"Monday"
"10/22/2019",25,50,50,2019-10-22,"Tuesday"
"10/23/2019",25,50,50,2019-10-23,"Wednesday"
"10/24/2019",25,50,50,2019-10-24,"Thursday"
"10/25/2019",25,50,50,2019-10-25,"Friday"
"10/28/2019",25,50,50,2019-10-28,"Monday"
"10/29/2019",25,50,50,2019-10-29,"Tuesday"
"10/30/2019",25,50,50,2019-10-30,"Wednesday"
"10/31/2019",25,50,50,2019-10-31,"Thursday"
"11/1/2019",25,50,50,2019-11-01,"Friday"
"11/4/2019",25,50,50,2019-11-04,"Monday"
"11/5/2019",25,50,50,2019-11-05,"Tuesday"
"11/6/2019",25,50,50,2019-11-06,"Wednesday"
"11/7/2019",25,50,50,2019-11-07,"Thursday"
"11/8/2019",25,50,50,2019-11-08,"Friday"
"11/11/2019",25,50,50,2019-11-11,"Monday"
"11/12/2019",25,50,50,2019-11-12,"Tuesday"
"11/13/2019",25,50,50,2019-11-13,"Wednesday"
"11/14/2019",25,50,50,2019-11-14,"Thursday"
"11/15/2019",25,50,50,2019-11-15,"Friday"
"11/18/2019",25,50,50,2019-11-18,"Monday"
"11/19/2019",25,50,50,2019-11-19,"Tuesday"
"11/20/2019",25,50,50,2019-11-20,"Wednesday"
"11/21/2019",25,50,50,2019-11-21,"Thursday"
"11/22/2019",25,50,50,2019-11-22,"Friday"
"11/25/2019",25,50,50,2019-11-25,"Monday"
"11/26/2019",25,50,50,2019-11-26,"Tuesday"
"11/27/2019",25,50,50,2019-11-27,"Wednesday"
"11/28/2019",25,50,50,2019-11-28,"Thursday"
"11/29/2019",25,50,50,2019-11-29,"Friday"
"12/2/2019",25,50,50,2019-12-02,"Monday"
"12/3/2019",25,50,50,2019-12-03,"Tuesday"
"12/4/2019",25,50,50,2019-12-04,"Wednesday"
"12/5/2019",25,50,50,2019-12-05,"Thursday"
"12/6/2019",25,50,50,2019-12-06,"Friday"
"12/9/2019",25,50,50,2019-12-09,"Monday"
"12/10/2019",25,50,50,2019-12-10,"Tuesday"
"12/11/2019",25,50,50,2019-12-11,"Wednesday"
"12/12/2019",25,50,50,2019-12-12,"Thursday"
"12/13/2019",25,50,50,2019-12-13,"Friday"
"12/16/2019",25,50,50,2019-12-16,"Monday"
"12/17/2019",25,50,50,2019-12-17,"Tuesday"
"12/18/2019",25,50,50,2019-12-18,"Wednesday"
"12/19/2019",25,50,50,2019-12-19,"Thursday"
"12/20/2019",25,50,50,2019-12-20,"Friday"
"12/23/2019",25,50,50,2019-12-23,"Monday"
"12/24/2019",25,50,50,2019-12-24,"Tuesday"
