"Date","DFEDTARL","DFEDTARU","IORR","sdate","weekday"
"8/11/2016",25,50,50,2016-08-11,"Thursday"
"8/12/2016",25,50,50,2016-08-12,"Friday"
"8/15/2016",25,50,50,2016-08-15,"Monday"
"8/16/2016",25,50,50,2016-08-16,"Tuesday"
"8/17/2016",25,50,50,2016-08-17,"Wednesday"
"8/18/2016",25,50,50,2016-08-18,"Thursday"
"8/19/2016",25,50,50,2016-08-19,"Friday"
"8/22/2016",25,50,50,2016-08-22,"Monday"
"8/23/2016",25,50,50,2016-08-23,"Tuesday"
"8/24/2016",25,50,50,2016-08-24,"Wednesday"
"8/25/2016",25,50,50,2016-08-25,"Thursday"
"8/26/2016",25,50,50,2016-08-26,"Friday"
"8/29/2016",25,50,50,2016-08-29,"Monday"
"8/30/2016",25,50,50,2016-08-30,"Tuesday"
"8/31/2016",25,50,50,2016-08-31,"Wednesday"
"9/1/2016",25,50,50,2016-09-01,"Thursday"
"9/2/2016",25,50,50,2016-09-02,"Friday"
"9/5/2016",25,50,50,2016-09-05,"Monday"
"9/6/2016",25,50,50,2016-09-06,"Tuesday"
"9/7/2016",25,50,50,2016-09-07,"Wednesday"
"9/8/2016",25,50,50,2016-09-08,"Thursday"
"9/9/2016",25,50,50,2016-09-09,"Friday"
"9/12/2016",25,50,50,2016-09-12,"Monday"
"9/13/2016",25,50,50,2016-09-13,"Tuesday"
"9/14/2016",25,50,50,2016-09-14,"Wednesday"
"9/15/2016",25,50,50,2016-09-15,"Thursday"
"9/16/2016",25,50,50,2016-09-16,"Friday"
"9/19/2016",25,50,50,2016-09-19,"Monday"
"9/20/2016",25,50,50,2016-09-20,"Tuesday"
"9/21/2016",25,50,50,2016-09-21,"Wednesday"
"9/22/2016",25,50,50,2016-09-22,"Thursday"
"9/23/2016",25,50,50,2016-09-23,"Friday"
"9/26/2016",25,50,50,2016-09-26,"Monday"
"9/27/2016",25,50,50,2016-09-27,"Tuesday"
"9/28/2016",25,50,50,2016-09-28,"Wednesday"
"9/29/2016",25,50,50,2016-09-29,"Thursday"
"9/30/2016",25,50,50,2016-09-30,"Friday"
"10/3/2016",25,50,50,2016-10-03,"Monday"
"10/4/2016",25,50,50,2016-10-04,"Tuesday"
"10/5/2016",25,50,50,2016-10-05,"Wednesday"
"10/6/2016",25,50,50,2016-10-06,"Thursday"
"10/7/2016",25,50,50,2016-10-07,"Friday"
