Date,Reference,Rate,,,,,,dontknow,
12/27/2000,EFFR,6.53,,,,,,6.5,
12/28/2000,EFFR,6.53,,,,,,6.5,
12/29/2000,EFFR,5.41,,,,,,6.5,
1/2/2001,EFFR,6.67,,,,,,6.5,
1/3/2001,EFFR,6.35,,,,,,6,
1/4/2001,EFFR,5.92,,,,,,6,
1/5/2001,EFFR,5.83,,,,,,6,
1/8/2001,EFFR,5.98,,,,,,6,
1/9/2001,EFFR,5.95,,,,,,6,
1/10/2001,EFFR,6.06,,,,,,6,
1/11/2001,EFFR,6.05,,,,,,6,
1/12/2001,EFFR,5.98,,,,,,6,
1/16/2001,EFFR,6.2,,,,,,6,
1/17/2001,EFFR,5.94,,,,,,6,
1/18/2001,EFFR,5.93,,,,,,6,
1/19/2001,EFFR,5.92,,,,,,6,
1/22/2001,EFFR,6,,,,,,6,
1/23/2001,EFFR,5.97,,,,,,6,
1/24/2001,EFFR,6.05,,,,,,6,
1/25/2001,EFFR,6.1,,,,,,6,
1/26/2001,EFFR,5.96,,,,,,6,
1/29/2001,EFFR,5.98,,,,,,6,
1/30/2001,EFFR,5.9,,,,,,6,
1/31/2001,EFFR,5.74,,,,,,5.5,
2/1/2001,EFFR,5.57,,,,,,5.5,
2/2/2001,EFFR,5.5,,,,,,5.5,
2/5/2001,EFFR,5.52,,,,,,5.5,
2/6/2001,EFFR,5.48,,,,,,5.5,
2/7/2001,EFFR,5.5,,,,,,5.5,
2/8/2001,EFFR,5.5,,,,,,5.5,
2/9/2001,EFFR,5.44,,,,,,5.5,
2/12/2001,EFFR,5.48,,,,,,5.5,
2/13/2001,EFFR,5.46,,,,,,5.5,
2/14/2001,EFFR,5.5,,,,,,5.5,
2/15/2001,EFFR,5.57,,,,,,5.5,
2/16/2001,EFFR,5.46,,,,,,5.5,
2/20/2001,EFFR,5.57,,,,,,5.5,
2/21/2001,EFFR,5.5,,,,,,5.5,
2/22/2001,EFFR,5.52,,,,,,5.5,
2/23/2001,EFFR,5.46,,,,,,5.5,
2/26/2001,EFFR,5.55,,,,,,5.5,
2/27/2001,EFFR,5.49,,,,,,5.5,
2/28/2001,EFFR,5.59,,,,,,5.5,
3/1/2001,EFFR,5.59,,,,,,5.5,
3/2/2001,EFFR,5.52,,,,,,5.5,
3/5/2001,EFFR,5.52,,,,,,5.5,
3/6/2001,EFFR,5.39,,,,,,5.5,
3/7/2001,EFFR,5.34,,,,,,5.5,
3/8/2001,EFFR,5.46,,,,,,5.5,
3/9/2001,EFFR,5.42,,,,,,5.5,
3/12/2001,EFFR,5.5,,,,,,5.5,
3/13/2001,EFFR,5.5,,,,,,5.5,
3/14/2001,EFFR,5.48,,,,,,5.5,
3/15/2001,EFFR,5.52,,,,,,5.5,
3/16/2001,EFFR,5.4,,,,,,5.5,
3/19/2001,EFFR,5.38,,,,,,5.5,
3/20/2001,EFFR,5.14,,,,,,5,
3/21/2001,EFFR,5.05,,,,,,5,
3/22/2001,EFFR,5.04,,,,,,5,
3/23/2001,EFFR,4.94,,,,,,5,
3/26/2001,EFFR,5.03,,,,,,5,
3/27/2001,EFFR,5.04,,,,,,5,
3/28/2001,EFFR,5.05,,,,,,5,
3/29/2001,EFFR,5.19,,,,,,5,
3/30/2001,EFFR,5.29,,,,,,5,
4/2/2001,EFFR,5.3,,,,,,5,
4/3/2001,EFFR,5.1,,,,,,5,
4/4/2001,EFFR,5.01,,,,,,5,
4/5/2001,EFFR,5.04,,,,,,5,
4/6/2001,EFFR,4.94,,,,,,5,
4/9/2001,EFFR,4.98,,,,,,5,
4/10/2001,EFFR,4.96,,,,,,5,
4/11/2001,EFFR,4.95,,,,,,5,
4/12/2001,EFFR,5.02,,,,,,5,
4/13/2001,EFFR,5.01,,,,,,5,
4/16/2001,EFFR,5.17,,,,,,5,
4/17/2001,EFFR,4.99,,,,,,5,
