sdate,EFFR,OBFR,TGCR,BGCR,SOFR,dkindex,TargetDe,TargetUe,Time,,,,,,,,,,,,,,,,,,,,,,,Dgara,,,,,,differences,
16867,13.1262102,13.11870101,15.07673295,28.97591074,3.111008545,73.40856343,0,0,3/4/2016 0:00,,,,,,,> dk,,,,,,,,,,,,,,,,Time,EFFR,volumeEFFR,TargetUE,TargetDE,Gara,r-U,r-D
16868,13.48312646,12.92054558,15.02261434,29.77040868,3.002105263,74.19880032,0,0,3/7/2016 0:00,,,,,,,"               [,1]         [,2]        [,3]       [,4]         [,5]",,,,,,,,,,,,,,,,3/1/2016,0,0,,0,,,
16869,13.40090142,13.22041734,14.76611599,28.20546992,3.030129583,72.62303425,0,0,3/8/2016 0:00,,,,,,,"   [1,] 13.12621020  13.11870101 15.07673295 28.9759107   3.11100854",,,,,,,,,,,,,,,,3/2/2016,0,0,,0,,,
16870,13.96282659,12.60890992,14.92293567,27.19654933,3.199316298,71.8905378,0,0,3/9/2016 0:00,,,,,,,"   [2,] 13.48312646  12.92054558 15.02261434 29.7704087   3.00210526",,,,,,,,,,,,,,,,3/3/2016,0,0,,0,,,
16871,13.4042388,12.75982446,15.05699917,27.56369859,3.108104192,71.89286522,0,0,3/10/2016 0:00,,,,,,,"   [3,] 13.40090142  13.22041734 14.76611599 28.2054699   3.03012958",,,,,,,,,,,,,,,,3/4/2016,0.37,325,,,,,
16874,12.80871563,12.99172029,15.05209272,26.33862862,2.897286729,70.08844399,0,0,3/11/2016 0:00,,,,,,,"   [4,] 13.96282659  12.60890992 14.92293567 27.1965493   3.19931630",,,,,,,,,,,,,,,,3/7/2016,0.37,320,,,,,
16875,12.63489153,12.51138893,15.1933323,28.11391881,2.834587985,71.28811957,0,0,3/14/2016 0:00,,,,,,,"   [5,] 13.40423880  12.75982446 15.05699917 27.5636986   3.10810419",,,,,,,,,,,,,,,,3/8/2016,0.37,327,,,,,
16876,12.87952404,12.55916462,14.92367997,28.15899653,2.878002726,71.39936788,0,0,3/15/2016 0:00,,,,,,,"   [6,] 12.80871563  12.99172029 15.05209272 26.3386286   2.89728673",,,,,,,,,,,,,,,,3/9/2016,0.37,322,,,,,
16877,13.16515142,12.5891372,15.35226335,29.22591793,2.702917275,73.03538717,0,0,3/16/2016 0:00,,,,,,,"   [7,] 12.63489153  12.51138893 15.19333230 28.1139188   2.83458799",,,,,,,,,,,,,,,,3/10/2016,0.37,331,,,,,
16878,12.99725278,12.59150568,15.47828132,31.4091707,2.730918246,75.20712873,0,0,3/17/2016 0:00,,,,,,,"   [8,] 12.87952404  12.55916462 14.92367997 28.1589965   2.87800273",,,,,,,,,,,,,,,,3/11/2016,0.37,314,,,,,
16881,13.38860819,12.54582816,15.59117949,32.34890364,2.889131444,76.76365092,0,0,3/18/2016 0:00,,,,,,,"   [9,] 13.16515142  12.58913720 15.35226335 29.2259179   2.70291728",,,,,,,,,,,,,,,,3/14/2016,0.37,304,,,,,
16882,13.85535843,12.78980712,15.38097437,31.13875918,2.718777573,75.88367666,0,0,3/21/2016 0:00,,,,,,,"  [10,] 12.99725278  12.59150568 15.47828132 31.4091707   2.73091825",,,,,,,,,,,,,,,,3/15/2016,0.37,302,,,,,
16883,13.36073703,12.20303351,14.64109162,28.43159454,2.980849903,71.6173066,0,0,3/22/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,3/16/2016,0.37,299,begn<-  520,,,,
16884,5.015167063,13.69154124,16.36851291,31.94291488,3.458268271,70.47640436,0,0,3/23/2016 0:00,,,,,,,dkindex[1:10],,,,,,,,,,,,,,,,3/17/2016,0.37,306,for (t in 520:nrow(dgaraa)) {,,,,
16885,5.118044738,13.6813084,16.35627934,31.91904125,3.402519253,70.47719298,0,0,3/24/2016 0:00,,,,,,, [1] 73.40856 74.19880 72.62303 71.89054 71.89287 70.08844 71.28812 71.39937 73.03539 75.20713,,,,,,,,,,,,,,,,3/18/2016,0.37,299,"  if (rrbp[t, 1] > targetbp[t, 2]) {",,,,
16888,14.02106308,11.23557847,13.61519616,28.26451171,3.201261703,70.33761112,0,0,3/25/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,3/21/2016,0.37,305,"    dgaraa[t,1] <- rrbp[t, 1] - targetbp[t, 2] } # greater than TU",,,,
16889,14.10399519,10.63657244,14.25850148,29.98983115,3.146674663,72.13557492,0,0,3/28/2016 0:00,,,,,,,meanr> colMeans(rrbp),,,,,,,,,,,,,,,,3/22/2016,0.37,310,"   else if (rrbp[t, 1] < targetbp[t, 1]) {",,,,
16890,14.57648154,10.89877046,13.51110635,26.88900085,3.332138731,69.20749793,0,0,3/29/2016 0:00,,,,,,,    EFFR     OBFR     TGCR     BGCR     SOFR ,,,,,,,,,,,,,,,,3/23/2016,0.37,295,"    dgaraa[t,1] <- rrbp[t, 1] - targetbp[t, 1] }  # less than TD",,,,
16891,11.66529581,11.39840255,14.31285871,29.92228057,4.016068077,71.31490572,0,0,3/30/2016 0:00,,,,,,,108.3327 104.8129 104.4386 105.5754 108.1339 ,,,,,,,,,,,,,,,,3/24/2016,0.37,94,},,,,
16892,13.56065272,11.44597877,14.73263889,29.24278143,2.706182231,71.68823404,0,0,3/31/2016 0:00,,,,,,,"> rrbp[1:10,]",,,,,,,,,,,,,,,,3/25/2016,0.37,96,,,,,
16895,13.24815418,11.76778491,14.63022686,29.46959249,3.235402467,72.35116091,0,0,4/1/2016 0:00,,,,,,,   EFFR OBFR TGCR BGCR SOFR,,,,,,,,,,,,,,,,3/28/2016,0.37,297,,,,,
16896,12.93322731,12.23397643,14.99371482,29.52208122,3.279694668,72.96269443,0,0,4/4/2016 0:00,,,,,,,1    37   28   28   34   36,,,,,,,,,,,,,,,,3/29/2016,0.37,295,,,,,
16897,12.8179462,12.50329105,14.84191093,28.83820999,3.370653351,72.37201152,0,0,4/5/2016 0:00,,,,,,,2    37   28   28   32   36,,,,,,,,,,,,,,,,3/30/2016,0.37,301,,,,,
16898,12.94557288,12.44828532,15.02556855,28.62226121,3.337146776,72.37883474,0,0,4/6/2016 0:00,,,,,,,3    37   28   30   35   36,,,,,,,,,,,,,,,,3/31/2016,0.25,181,,,,,
16899,12.96556782,12.60412404,15.00778155,27.92512951,3.486091521,71.98869444,0,0,4/7/2016 0:00,,,,,,,4    37   30   30   36   36,,,,,,,,,,,,,,,,4/1/2016,0.37,292,,,,,
16902,13.08132865,12.43044534,14.84191093,28.62105479,3.239329195,72.21406892,0,0,4/8/2016 0:00,,,,,,,5    37   30   30   36   36,,,,,,,,,,,,,,,,4/4/2016,0.37,294,,,,,
16903,13.16912281,12.43044534,14.84191093,28.62105479,3.151779757,72.21431363,0,0,4/11/2016 0:00,,,,,,,6    37   30   31   40   36,,,,,,,,,,,,,,,,4/5/2016,0.37,291,,,,,
16904,12.65510395,12.39992246,15.1253379,28.81072232,3.231375041,72.22246167,0,0,4/12/2016 0:00,,,,,,,7    37   31   30   37   36,,,,,,,,,,,,,,,,4/6/2016,0.37,292,,,,,
16905,12.38632361,12.85042974,15.06440054,27.07096223,3.243457853,70.61557397,0,0,4/13/2016 0:00,,,,,,,8    37   30   30   37   37,,,,,,,,,,,,,,,,4/7/2016,0.37,294,,,,,
16906,12.28040481,12.97252298,15.03576374,28.00128226,3.138911241,71.42888504,0,0,4/14/2016 0:00,,,,,,,9    37   30   28   34   37,,,,,,,,,,,,,,,,4/8/2016,0.37,293,,,,,
16909,12.47661795,12.83851987,15.82628543,30.23577733,3.077487187,74.45468776,0,0,4/15/2016 0:00,,,,,,,10   37   28   27   30   37,,,,,,,,,,,,,,,,4/11/2016,0.37,298,,,,,
16910,12.53727096,13.06312954,16.19170654,30.6424051,2.974691122,75.40920326,0,0,4/18/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,4/12/2016,0.37,300,,,,,
16911,12.56454409,13.462938,15.97188161,30.68334484,2.932441347,75.61514989,0,0,4/19/2016 0:00,,,,,,,> colMeans(rrbp),,,,,,,,,,,,,,,,4/13/2016,0.37,289,,,,,
16912,13.1010392,13.36139489,15.27180051,28.07804862,2.70903128,72.5213145,0,0,4/20/2016 0:00,,,,,,,    EFFR     OBFR     TGCR     BGCR     SOFR ,,,,,,,,,,,,,,,,4/14/2016,0.37,278,,,,,
16913,12.6940667,12.65103852,15.62660963,30.21848371,2.847108792,74.03730735,0,0,4/21/2016 0:00,,,,,,,108.3327 104.8129 104.4386 105.5754 108.1339 ,,,,,,,,,,,,,,,,4/15/2016,0.37,277,,,,,
16916,12.20222982,12.90418464,15.90553637,31.6944206,2.573207339,75.27957878,0,0,4/22/2016 0:00,,,,,,,"> rrbp[1:10,]",,,,,,,,,,,,,,,,4/18/2016,0.37,283,,,,,
16917,12.1863832,13.4395187,16.13707924,31.4831434,2.626346164,75.87247071,0,0,4/25/2016 0:00,,,,,,,   EFFR OBFR TGCR BGCR SOFR,,,,,,,,,,,,,,,,4/19/2016,0.37,290,,,,,
16918,12.90574035,13.0725614,16.36349798,31.74625641,2.363834818,76.45189096,0,0,4/26/2016 0:00,,,,,,,1    37   28   28   34   36,,,,,,,,,,,,,,,,4/20/2016,0.37,282,,,,,
16919,13.25691696,13.4345623,15.22699055,30.05963833,2.757807287,74.73591543,0,0,4/27/2016 0:00,,,,,,,2    37   28   28   32   36,,,,,,,,,,,,,,,,4/21/2016,0.37,299,,,,,
16920,14.3593534,12.67266618,15.81078803,30.86076696,2.787802101,76.49137667,0,0,4/28/2016 0:00,,,,,,,3    37   28   30   35   36,,,,,,,,,,,,,,,,4/22/2016,0.37,289,,,,,
16923,12.16392789,13.3637199,15.36220271,31.42886937,2.759906974,75.07862684,0,0,4/29/2016 0:00,,,,,,,4    37   30   30   36   36,,,,,,,,,,,,,,,,4/25/2016,0.37,279,,,,,
16924,12.58313085,13.27516746,15.85258139,30.44348953,2.501132997,74.65550223,0,0,5/2/2016 0:00,,,,,,,5    37   30   30   36   36,,,,,,,,,,,,,,,,4/26/2016,0.37,273,,,,,
16925,11.82971668,13.74043805,15.50942574,29.88665577,2.695136028,73.66137227,0,0,5/3/2016 0:00,,,,,,,6    37   30   31   40   36,,,,,,,,,,,,,,,,4/27/2016,0.37,294,,,,,
16926,12.49499854,13.23427946,15.40570833,28.66201076,2.645652624,72.44264972,0,0,5/4/2016 0:00,,,,,,,7    37   31   30   37   36,,,,,,,,,,,,,,,,4/28/2016,0.37,302,,,,,
16927,12.56550513,12.86476477,15.95555696,28.5430923,2.557240915,72.48616008,0,0,5/5/2016 0:00,,,,,,,8    37   30   30   37   37,,,,,,,,,,,,,,,,4/29/2016,0.3,290,,,,,
16930,12.65856928,13.08999116,15.6485338,28.51789305,2.729358969,72.64434628,0,0,5/6/2016 0:00,,,,,,,9    37   30   28   34   37,,,,,,,,,,,,,,,,5/2/2016,0.37,280,,,,,
16931,12.5552517,13.20670171,15.86984338,28.37481467,2.658410442,72.66502191,0,0,5/9/2016 0:00,,,,,,,10   37   28   27   30   37,,,,,,,,,,,,,,,,5/3/2016,0.37,296,,,,,
16932,12.40757505,13.41657983,15.63636364,28.4868134,2.716022329,72.66335424,0,0,5/10/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/4/2016,0.37,267,,,,,
16933,12.37621068,13.37874097,15.55388769,28.68306595,2.662766989,72.65467228,0,0,5/11/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/5/2016,0.37,292,,,,,
16934,11.64971152,13.58256091,15.64979634,27.71375392,2.644222429,71.24004512,0,0,5/12/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/6/2016,0.37,294,,,,,
16937,12.37230686,13.06540474,15.6562159,27.97156048,2.595196774,71.66068476,0,0,5/13/2016 0:00,,,,,,,vtot[1:10],,,,,,,,,,,,,,,,5/9/2016,0.37,296,,,,,
16938,12.42597819,12.89089152,15.67854684,29.65997664,2.579767542,73.23516073,0,0,5/16/2016 0:00,,,,,,, [1] 9.279940 1.250000 1.250000 1.261088 1.250000 1.250000 1.250000 1.250000 1.250000 6.828550,,,,,,,,,,,,,,,,5/10/2016,0.37,292,,,,,
16939,13.10015699,12.98179606,15.59166372,30.84805883,2.690849862,75.21252547,0,0,5/17/2016 0:00,,,,,,,> nrow(vtot),,,,,,,,,,,,,,,,5/11/2016,0.37,287,,,,,
16940,13.22244709,12.92991226,15.71595155,32.01673771,2.517637174,76.40268578,0,0,5/18/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/12/2016,0.37,292,,,,,
16941,13.69057099,13.26601649,15.4928408,32.02787839,2.827683702,77.30499037,0,0,5/19/2016 0:00,,,,,,, mrate[1:10],,,,,,,,,,,,,,,,5/13/2016,0.37,268,,,,,
16944,13.45009054,12.96139294,15.26949905,29.60746565,2.999623054,74.28807123,0,0,5/20/2016 0:00,,,,,,, [1] 519.415029   6.250000   6.250000   6.382566   6.250000   6.250000   6.250000   6.250000   6.250000,,,,,,,,,,,,,,,,5/16/2016,0.37,290,,,,,
16945,13.89430357,12.53802234,15.36554676,31.30319579,2.848809828,75.94987829,0,0,5/23/2016 0:00,,,,,,,[10] 176.206246,,,,,,,,,,,,,,,,5/17/2016,0.37,293,,,,,
16946,13.15264493,12.64067576,15.58073863,31.04720721,2.776999807,75.19826634,0,0,5/24/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/18/2016,0.37,301,,,,,
16947,13.56687442,12.86836859,15.48130194,32.41080962,2.978094658,77.30544923,0,0,5/25/2016 0:00,,,,,,,>,,,,,,,,,,,,,,,,5/19/2016,0.37,309,,,,,
16948,13.01569108,13.540125,15.3290513,28.3890538,2.86558438,73.13950556,0,0,5/26/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/20/2016,0.37,309,,,,,
16952,13.73811011,12.89743261,15.1478926,29.80855156,2.992829482,74.58481636,0,0,5/27/2016 0:00,,,,,,, for (i in 1:rcol) {,,,,,,,,,,,,,,,,5/23/2016,0.37,313,,,,,
16953,12.94258674,12.97730744,15.27862488,29.72019996,2.730379091,73.64909811,0,0,5/31/2016 0:00,,,,,,,"    dk[t, i] <- (1 / vtot[t]) * dk[t, i] * abs(rrbp[t, i] - meanr[t])",,,,,,or,"    dk[t, i] <- (1 / vtot[t]) * abs(rrbp[t, i] - meanr[t])",,,,,,,,,5/24/2016,0.37,321,,,,,
16954,12.83054798,13.08426416,15.1147195,29.49982341,2.838578031,73.36793308,0,0,6/1/2016 0:00,,,,,,,  },,,,,,,"    dk[t, i] <- (1 / colsumvold[t]) * vold[t,i[*abs(rrbp[t, i] - meanr[t])",,,,,,,,,5/25/2016,0.37,307,,,,,
16955,12.69189434,13.01834451,15.39836624,28.86016126,3.003241417,72.97200777,0,0,6/2/2016 0:00,,,,,,,  ,,,,,,,,,,,,,,,,5/26/2016,0.37,318,,,,,
16958,12.32650227,12.90857538,15.27586782,28.92090678,2.914632037,72.34648428,0,0,6/3/2016 0:00,,,,,,,  # Calculate dkindex(t),,,,,,,,,,,,,,,,5/27/2016,0.37,308,,,,,
16959,12.67376565,13.06019952,14.74474,27.70349614,2.988820089,71.17102139,0,0,6/6/2016 0:00,,,,,,,"  dkindex[t] <- sum(dk[t, 1:rcol])",,,,,,,,,,,,,,,,5/31/2016,0.29,284,,,,,
16960,12.4704626,12.90030915,14.83442197,28.19121551,3.013429706,71.40983894,0,0,6/7/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,6/1/2016,0.37,305,,,,,
16961,12.44818066,13.01093313,14.33877726,26.63636041,3.177512722,69.61176417,0,0,6/8/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,6/2/2016,0.37,302,,,,,
16962,11.95897319,12.5939608,14.50701133,27.01986785,3.149376541,69.22918971,0,0,6/9/2016 0:00,,,,,,,The dispersion index D at day t as the weighted mean absolute deviation of the cross-sectional adjusted rate,,,,,,,,,,,,,,,,6/3/2016,0.37,295,,,,,
16965,12.07234759,12.5822707,14.84044881,27.72840147,3.041355169,70.26482373,0,0,6/10/2016 0:00,,,,,,,"# distribution on that day. That is,",,,,,,,,,,,,,,,,6/6/2016,0.37,291,,,,,
16966,11.25384676,13.00708647,14.70173285,26.34341378,2.882037199,68.18811706,0,0,6/13/2016 0:00,,,,,,,"# D_t =1/ (sum_{i}^{}v_{i,t}) times ",,,,,,,,,,,,,,,,6/7/2016,0.37,296,,,,,
16967,10.46954441,12.77461721,14.73779569,26.5916626,2.987712435,67.56133235,0,0,6/14/2016 0:00,,,,,,,"# (sum_{i}^{}v_{i,t} |yhat_{i,t} ? y¯t|) (4.2)",,,,,,,,,,,,,,,,6/8/2016,0.37,293,,,,,
16968,10.75875877,12.44986091,15.20906345,27.27121102,2.944355339,68.63324949,0,0,6/15/2016 0:00,,,,,,,"# where vi,t is the estimated outstanding amount of this instrument on day t, in dollars,",,,,,,,,,,,,,,,,6/9/2016,0.37,293,,,,,
16969,10.78348162,12.92068782,15.06327115,27.89473684,3.134476788,69.79665422,0,0,6/16/2016 0:00,,,,,,,"# and y¯t is the volume-weighted mean rate, defined by",,,,,,,,,,,,,,,,6/10/2016,0.37,284,,,,,
16972,10.69437256,12.99113664,14.96738628,27.4202631,3.139041093,69.21219967,0,0,6/17/2016 0:00,,,,,,,"# y¯t = [(sum_{i}^{}(v_{i,t}) times yhat_{i,t})]/(sum_{i}^{}v_{i,t})",,,,,,,,,,,,,,,,6/13/2016,0.37,285,,,,,
16973,11.42685713,12.79268859,14.75557912,26.14279685,3.091545509,68.2094672,0,0,6/20/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,6/14/2016,0.37,257,,,,,
16974,11.49979538,12.63417974,14.07845972,23.38500797,3.119101656,64.71654447,0,0,6/21/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,6/15/2016,0.38,241,,,,,
16975,10.85130894,12.04596589,11.38356796,21.05417553,3.194039889,58.52905821,0,0,6/22/2016 0:00,,,,,,,"Armed with the adjusted rates and volumes, we compute the dispersion index Dt at day t as the weighted mean absolute deviation of the cross-sectional adjusted rate distribution on that day.  ",,,,,,,,,,,,,,,,6/16/2016,0.38,255,,,,,
16976,10.73243929,10.61536838,12.57282535,19.31339844,3.108618231,56.34264969,0,0,6/23/2016 0:00,,,,,,,"That is, Dt = 1 P i vi,t X i vi,t |ybi,t ? y¯t |, (4.2) where vi,t is",,,,,,,,,,,,,,,,6/17/2016,0.38,247,,,,,
16979,10.22396881,10.72103703,12.76392697,21.36764083,3.030098011,58.10667165,0,0,6/24/2016 0:00,,,,,,,"the estimated outstanding amount of this instrument on day t, in dollars, and y¯t is the volume-weighted mean rate, defined by y¯t = P i P vi,t ybi,t i vi,t .",,,,,,,,,,,,,,,,6/20/2016,0.38,248,,,,,
16980,10.39191655,10.77593164,13.94024123,23.8858038,2.825789921,61.81968314,0,0,6/27/2016 0:00,,,,,,,p14,,,,,,,,,,,,,,,,6/21/2016,0.38,258,,,,,
16981,11.02291544,11.24529492,12.72108608,18.05467317,2.913108873,55.95707848,0,0,6/28/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,6/22/2016,0.38,250,,,,,
16982,9.364591743,11.50062876,13.89336499,26.33692653,3.180027701,64.27553973,0,0,6/29/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,6/23/2016,0.39,244,,,,,
16983,10.11713293,11.70346689,14.91382869,29.13998071,2.298056416,68.17246564,0,0,6/30/2016 0:00,,,,,,,"vold[1:10,]",,,,,,,,,,,,,,,,6/24/2016,0.4,248,,,,,
16987,11.65199272,12.23401675,14.3429326,29.29034704,2.85140939,70.3706985,0,0,7/1/2016 0:00,,,,,,,   VolumeEFFR VolumeOBFR VolumeTGCR VolumeBGCR VolumeSOFR,,,,,,,,,,,,,,,,6/27/2016,0.41,239,,,,,
16988,9.85322404,13.1808558,14.56006746,28.55014127,3.062198568,69.20648714,0,0,7/5/2016 0:00,,,,,,,1         320        297        343        704         75,,,,,,,,, colsumvold[1:10],,,,,,,6/28/2016,0.41,242,,,,,
16989,10.30881982,13.22647495,14.25252787,26.66391842,2.85289805,67.30463911,0,0,7/6/2016 0:00,,,,,,,2         327        291        340        700         72,,,,,,,,, [1] 1739 1730 1714 1691 1671 1693 1705 1656 1658 1641,,,,,,,6/29/2016,0.41,249,,,,,
16990,10.26042501,12.90421952,14.55149258,27.4197247,2.85114242,67.98700423,0,0,7/7/2016 0:00,,,,,,,3         322        295        340        685         72,,,,,,,,,,,,,,,,6/30/2016,0.3,159,,,,,
16993,10.45573381,12.89577256,15.13012048,28.19429719,2.749983443,69.42590749,0,0,7/8/2016 0:00,,,,,,,4         331        285        339        661         75,,,,,,,,,>,,,,,,,7/1/2016,0.41,235,,,,,
16994,10.62679272,13.25873051,15.05070694,28.43137802,2.669502519,70.03711071,0,0,7/11/2016 0:00,,,,,,,5         314        285        338        662         72,,,,,,,,,,,,,,,,7/5/2016,0.4,273,,,,,
16995,11.02006452,13.16637552,14.77977473,27.81771533,2.622136128,69.40606622,0,0,7/12/2016 0:00,,,,,,,6         304        294        347        680         68,,,,,,,,,,,,,,,,7/6/2016,0.4,231,,,,,
16996,10.4740571,13.03577972,15.32269515,26.92292964,2.673556567,68.42901818,0,0,7/13/2016 0:00,,,,,,,7         302        289        348        699         67,,,,,,,,,,,,,,,,7/7/2016,0.4,245,,,,,
16997,10.87208429,12.98775165,15.10762923,28.68320085,2.625421332,70.27608736,0,0,7/14/2016 0:00,,,,,,,8         299        278        332        680         67,,,,,,,,,,,,,,,,7/8/2016,0.4,244,,,,,
17000,10.46727711,13.16965205,15.91093701,29.97414908,2.987960585,72.50997584,0,0,7/15/2016 0:00,,,,,,,9         306        279        333        677         63,,,,,,,,,,,,,,,,7/11/2016,0.4,254,,,,,
17001,10.87015027,13.5129308,15.59290147,30.93564917,2.762760249,73.67439195,0,0,7/18/2016 0:00,,,,,,,10        299        269        328        682         63,,,,,,,,,,,,,,,,7/12/2016,0.4,258,,,,,
17002,9.351572268,0.556207779,0.74107683,1.876028433,2.716546305,15.24143161,0,0,7/19/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/13/2016,0.4,264,,,,,
17003,10.57035209,13.85131526,14.99946578,28.31555869,2.904612831,70.64130464,0,0,7/20/2016 0:00,,,,,,,1739,,,,,,,,,,,,,,,,7/14/2016,0.4,250,,,,,
17004,10.4965172,13.34186896,15.13170341,29.30121541,3.026306049,71.29761103,0,0,7/21/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/15/2016,0.4,256,,,,,
17007,11.13848831,13.38365144,15.22401088,29.14579826,2.9948975,71.88684639,0,0,7/22/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/18/2016,0.4,248,,,,,
17008,11.22818921,13.80666616,14.96987103,29.13923435,2.924202495,72.06816326,0,0,7/25/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/19/2016,0.4,255,,,,,
17009,9.712657039,14.44344633,15.57920262,29.4228885,2.63080042,71.78899492,0,0,7/26/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/20/2016,0.4,254,,,,,
17010,10.16189586,14.23546914,15.34097539,29.46152677,2.553027377,71.75289453,0,0,7/27/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/21/2016,0.4,254,,,,,
17011,11.31223647,13.53950301,14.16490223,27.50685166,2.459849193,68.98334255,0,0,7/28/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/22/2016,0.4,249,,,,,
17014,9.376771605,0.54225796,0.720194932,1.949645224,2.691279402,15.28014912,0,0,7/29/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/25/2016,0.4,267,,,,,
17015,9.81071181,0.746871817,0.708002616,1.904523133,2.616160462,15.78626984,0,0,8/1/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/26/2016,0.4,268,,,,,
17016,9.883910338,0.752621085,0.71801036,1.898346737,2.33411465,15.58700317,0,0,8/2/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/27/2016,0.4,254,,,,,
17017,10.70613983,13.38233814,14.62689364,26.55832578,2.790053621,68.06375102,0,0,8/3/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/28/2016,0.4,254,,,,,
17018,10.52217877,13.33851906,15.06063091,28.14510212,2.857623888,69.92405474,0,0,8/4/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,7/29/2016,0.3,252,,,,,
17021,10.73267548,13.37919845,15.0529082,29.23167044,2.727009458,71.12346203,0,0,8/5/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/1/2016,0.4,247,,,,,
17022,10.30511827,13.78193539,14.98657176,29.52258024,2.731880619,71.32808627,0,0,8/8/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/2/2016,0.4,258,,,,,
17023,10.28754966,13.91331859,14.4713436,28.20468123,2.793740829,69.6706339,0,0,8/9/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/3/2016,0.4,266,,,,,
17024,9.893012464,14.23342514,14.92486255,27.11946972,2.538893712,68.70966359,0,0,8/10/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/4/2016,0.4,264,,,,,
17025,10.08462486,13.82240558,14.74268648,26.92950011,2.670282156,68.24949918,0,0,8/11/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/5/2016,0.4,257,,,,,
17028,9.972887624,13.8450029,14.71677994,27.37233022,2.578040145,68.48504083,0,0,8/12/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/8/2016,0.4,259,,,,,
17029,9.990889227,13.69715906,14.94972238,27.71973737,2.746674197,69.10418224,0,0,8/15/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/9/2016,0.4,252,,,,,
17030,10.27251181,13.70440583,14.73447901,27.32638542,2.622111101,68.65989317,0,0,8/16/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/10/2016,0.4,246,,,,,
17031,9.867992085,13.7706507,15.35332591,27.45847671,2.634785958,69.08523136,0,0,8/17/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/11/2016,0.4,237,,,,,
17032,10.13409406,13.85108251,15.59065035,29.7653307,2.639570678,71.9807283,0,0,8/18/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/12/2016,0.4,241,,,,,
17035,8.867881548,12.05775122,13.63974956,27.84150119,12.67478525,75.08166876,0,0,8/19/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/15/2016,0.4,243,,,,,
17036,10.48732213,14.52714616,15.42745535,29.21098214,2.470111835,72.12301761,0,0,8/22/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/16/2016,0.4,243,,,,,
17037,10.36972182,13.84083243,15.5717983,29.51296803,2.84234604,72.13766662,0,0,8/23/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/17/2016,0.4,250,,,,,
17038,10.66273004,14.08135295,15.11577669,27.36586031,2.647583947,69.87330393,0,0,8/24/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/18/2016,0.4,239,,,,,
17039,10.54466472,13.8567287,15.37613779,27.75273177,2.773373338,70.30363632,0,0,8/25/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/19/2016,0.4,245,,,,,
17042,10.749908,13.95898588,14.70616175,27.52326059,3.07433533,70.01265155,0,0,8/26/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/22/2016,0.4,248,,,,,
17043,10.6903549,13.85770224,14.36985925,24.79203171,2.984589655,66.69453776,0,0,8/29/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/23/2016,0.4,254,,,,,
17044,11.9233878,13.03636456,14.14427991,27.01322739,2.847768256,68.96502793,0,0,8/30/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,8/24/2016,0.4,251,,,,,
