Date,DFEDTARL,DFEDTARU,IORR,Dater,SOFR,EFFR,RRPONTSYAWARD
5/25/2016,0.25,0.5,0.5,6/29/2016,NA,0.41,0.25
5/26/2016,0.25,0.5,0.5,6/30/2016,NA,0.3,0.25
5/27/2016,0.25,0.5,0.5,7/1/2016,NA,0.41,0.25
5/28/2016,0.25,0.5,0.5,7/5/2016,NA,0.4,0.25
5/29/2016,0.25,0.5,0.5,7/6/2016,NA,0.4,0.25
5/30/2016,0.25,0.5,0.5,7/7/2016,NA,0.4,0.25
5/31/2016,0.25,0.5,0.5,7/8/2016,NA,0.4,0.25
6/1/2016,0.25,0.5,0.5,7/11/2016,NA,0.4,0.25
6/2/2016,0.25,0.5,0.5,7/12/2016,NA,0.4,0.25
6/3/2016,0.25,0.5,0.5,7/13/2016,NA,0.4,0.25
6/4/2016,0.25,0.5,0.5,7/14/2016,NA,0.4,0.25
6/5/2016,0.25,0.5,0.5,7/15/2016,NA,0.4,0.25
6/6/2016,0.25,0.5,0.5,7/18/2016,NA,0.4,0.25
6/7/2016,0.25,0.5,0.5,7/19/2016,NA,0.4,0.25
6/8/2016,0.25,0.5,0.5,7/20/2016,NA,0.4,0.25
6/9/2016,0.25,0.5,0.5,7/21/2016,NA,0.4,0.25
6/10/2016,0.25,0.5,0.5,7/22/2016,NA,0.4,0.25
6/11/2016,0.25,0.5,0.5,7/25/2016,NA,0.4,0.25
6/12/2016,0.25,0.5,0.5,7/26/2016,NA,0.4,0.25
6/13/2016,0.25,0.5,0.5,7/27/2016,NA,0.4,0.25
6/14/2016,0.25,0.5,0.5,7/28/2016,NA,0.4,0.25
6/15/2016,0.25,0.5,0.5,7/29/2016,NA,0.3,0.25
6/16/2016,0.25,0.5,0.5,8/1/2016,NA,0.4,0.25
6/17/2016,0.25,0.5,0.5,8/2/2016,NA,0.4,0.25
6/18/2016,0.25,0.5,0.5,8/3/2016,NA,0.4,0.25
6/19/2016,0.25,0.5,0.5,8/4/2016,NA,0.4,0.25
6/20/2016,0.25,0.5,0.5,8/5/2016,NA,0.4,0.25
6/21/2016,0.25,0.5,0.5,8/8/2016,NA,0.4,0.25
6/22/2016,0.25,0.5,0.5,8/9/2016,NA,0.4,0.25
6/23/2016,0.25,0.5,0.5,8/10/2016,NA,0.4,0.25
6/24/2016,0.25,0.5,0.5,8/11/2016,NA,0.4,0.25
6/25/2016,0.25,0.5,0.5,8/12/2016,NA,0.4,0.25
6/26/2016,0.25,0.5,0.5,8/15/2016,NA,0.4,0.25
6/27/2016,0.25,0.5,0.5,8/16/2016,NA,0.4,0.25
6/28/2016,0.25,0.5,0.5,8/17/2016,NA,0.4,0.25
6/29/2016,0.25,0.5,0.5,8/18/2016,NA,0.4,0.25
6/30/2016,0.25,0.5,0.5,8/19/2016,NA,0.4,0.25
7/1/2016,0.25,0.5,0.5,8/22/2016,NA,0.4,0.25
7/2/2016,0.25,0.5,0.5,8/23/2016,NA,0.4,0.25
7/3/2016,0.25,0.5,0.5,8/24/2016,NA,0.4,0.25
7/4/2016,0.25,0.5,0.5,8/25/2016,NA,0.4,0.25
7/5/2016,0.25,0.5,0.5,8/26/2016,NA,0.4,0.25
7/6/2016,0.25,0.5,0.5,8/29/2016,NA,0.4,0.25
7/7/2016,0.25,0.5,0.5,8/30/2016,NA,0.4,0.25
7/8/2016,0.25,0.5,0.5,8/31/2016,NA,0.3,0.25
7/9/2016,0.25,0.5,0.5,9/1/2016,NA,0.4,0.25
7/10/2016,0.25,0.5,0.5,9/2/2016,NA,0.4,0.25
7/11/2016,0.25,0.5,0.5,9/6/2016,NA,0.4,0.25
7/12/2016,0.25,0.5,0.5,9/7/2016,NA,0.4,0.25
7/13/2016,0.25,0.5,0.5,9/8/2016,NA,0.4,0.25
7/14/2016,0.25,0.5,0.5,9/9/2016,NA,0.4,0.25
7/15/2016,0.25,0.5,0.5,9/12/2016,NA,0.4,0.25
7/16/2016,0.25,0.5,0.5,9/13/2016,NA,0.4,0.25
7/17/2016,0.25,0.5,0.5,9/14/2016,NA,0.4,0.25
7/18/2016,0.25,0.5,0.5,9/15/2016,NA,0.4,0.25
7/19/2016,0.25,0.5,0.5,9/16/2016,NA,0.4,0.25
7/20/2016,0.25,0.5,0.5,9/19/2016,NA,0.4,0.25
7/21/2016,0.25,0.5,0.5,9/20/2016,NA,0.4,0.25
7/22/2016,0.25,0.5,0.5,9/21/2016,NA,0.4,0.25
7/23/2016,0.25,0.5,0.5,9/22/2016,NA,0.4,0.25
7/24/2016,0.25,0.5,0.5,9/23/2016,NA,0.4,0.25
7/25/2016,0.25,0.5,0.5,9/26/2016,NA,0.4,0.25
7/26/2016,0.25,0.5,0.5,9/27/2016,NA,0.4,0.25
7/27/2016,0.25,0.5,0.5,9/28/2016,NA,0.4,0.25
7/28/2016,0.25,0.5,0.5,9/29/2016,NA,0.4,0.25
7/29/2016,0.25,0.5,0.5,9/30/2016,NA,0.29,0.25
7/30/2016,0.25,0.5,0.5,10/3/2016,NA,0.4,0.25
