,DFEDTARL,,DFEDTARU,,RRPONTSYAWARD,,IORB,,IORR (+IORR 3/1/14-7/28/21,,Date,SOFR,EFFR
"Billions of U.S. Dollars, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",,,
"Weekly, Ending Wednesday",d,"Daily, 7-Day",d,"Daily, 7-Day",d,Daily,d,"Daily, 7-Day",d,"Daily, 7-Day",,,
1984-01-04 to 2023-12-20,12/16/2008,2008-12-16 to 2023-12-21,12/16/2008,2008-12-16 to 2023-12-21,9/23/2013,2013-09-23 to 2023-12-21,7/29/2021,2021-07-29 to 2023-12-22,10/9/2008,2008-10-09 to 2021-07-28,,,
,Federal Funds Target Range - Lower Limit,,Federal Funds Target Range - Upper Limit,,Overnight Reverse Repurchase Agreements Award Rate: Treasury Securities Sold by the Federal Reserve in the Temporary Open Market Operations,,Interest Rate on Reserve Balances,,Interest Rate on Required Reserves (DISCONTINUED),,,,
,Board of Governors of the Federal Reserve System (US),,Board of Governors of the Federal Reserve System (US),,Federal Reserve Bank of New York,,Board of Governors of the Federal Reserve System (US),,Board of Governors of the Federal Reserve System (US),,,,
value,date,value,date,value,date,value,date,value,date,value,,,
22.305,3/1/2016,0.25,3/1/2016,0.5,3/1/2016,0.25,,,3/1/2016,0.5,3/1/2016,NA,0.36
21.443,3/2/2016,0.25,3/2/2016,0.5,3/2/2016,0.25,,,3/2/2016,0.5,3/2/2016,NA,0.37
21.467,3/3/2016,0.25,3/3/2016,0.5,3/3/2016,0.25, ,,3/3/2016,0.5,3/3/2016,NA,0.37
20.922,3/4/2016,0.25,3/4/2016,0.5,3/4/2016,0.25,,,3/4/2016,0.5,3/4/2016,NA,0.36
20.825,3/5/2016,0.25,3/5/2016,0.5,3/7/2016,0.25,,,3/5/2016,0.5,3/7/2016,NA,0.36
18.553,3/6/2016,0.25,3/6/2016,0.5,3/8/2016,0.25,,,3/6/2016,0.5,3/8/2016,NA,0.36
18.344,3/7/2016,0.25,3/7/2016,0.5,3/9/2016,0.25,,,3/7/2016,0.5,3/9/2016,NA,0.36
18.07,3/8/2016,0.25,3/8/2016,0.5,3/10/2016,0.25,,,3/8/2016,0.5,3/10/2016,NA,0.36
18.353,3/9/2016,0.25,3/9/2016,0.5,3/11/2016,0.25,,,3/9/2016,0.5,3/11/2016,NA,0.36
19.004,3/10/2016,0.25,3/10/2016,0.5,3/14/2016,0.25,,,3/10/2016,0.5,3/14/2016,NA,0.36
20.776,3/11/2016,0.25,3/11/2016,0.5,3/15/2016,0.25,,,3/11/2016,0.5,3/15/2016,NA,0.37
18.411,3/12/2016,0.25,3/12/2016,0.5,3/16/2016,0.25,,,3/12/2016,0.5,3/16/2016,NA,0.37
19.325,3/13/2016,0.25,3/13/2016,0.5,3/17/2016,0.25,,,3/13/2016,0.5,3/17/2016,NA,0.37
19.805,3/14/2016,0.25,3/14/2016,0.5,3/18/2016,0.25,,,3/14/2016,0.5,3/18/2016,NA,0.37
20.672,3/15/2016,0.25,3/15/2016,0.5,3/21/2016,0.25,,,3/15/2016,0.5,3/21/2016,NA,0.37
19.946,3/16/2016,0.25,3/16/2016,0.5,3/22/2016,0.25,,,3/16/2016,0.5,3/22/2016,NA,0.37
21.166,3/17/2016,0.25,3/17/2016,0.5,3/23/2016,0.25,,,3/17/2016,0.5,3/23/2016,NA,0.37
18.712,3/18/2016,0.25,3/18/2016,0.5,3/24/2016,#N/A,,,3/18/2016,0.5,3/24/2016,NA,0.37
21.372,3/19/2016,0.25,3/19/2016,0.5,3/25/2016,#N/A,,,3/19/2016,0.5,3/25/2016,NA,0.37
22.479,3/20/2016,0.25,3/20/2016,0.5,3/28/2016,0.25,,,3/20/2016,0.5,3/28/2016,NA,0.37
16.324,3/21/2016,0.25,3/21/2016,0.5,3/29/2016,0.25,,,3/21/2016,0.5,3/29/2016,NA,0.37
19.531,3/22/2016,0.25,3/22/2016,0.5,3/30/2016,0.25,,,3/22/2016,0.5,3/30/2016,NA,0.37
19.167,3/23/2016,0.25,3/23/2016,0.5,3/31/2016,0.25,,,3/23/2016,0.5,3/31/2016,NA,0.25
20.261,3/24/2016,0.25,3/24/2016,0.5,4/1/2016,0.25,,,3/24/2016,0.5,4/1/2016,NA,0.37
21.03,3/25/2016,0.25,3/25/2016,0.5,4/4/2016,0.25,,,3/25/2016,0.5,4/4/2016,NA,0.37
21.474,3/26/2016,0.25,3/26/2016,0.5,4/5/2016,0.25,,,3/26/2016,0.5,4/5/2016,NA,0.37
18.952,3/27/2016,0.25,3/27/2016,0.5,4/6/2016,0.25,,,3/27/2016,0.5,4/6/2016,NA,0.37
20.215,3/28/2016,0.25,3/28/2016,0.5,4/7/2016,0.25,,,3/28/2016,0.5,4/7/2016,NA,0.37
20.904,3/29/2016,0.25,3/29/2016,0.5,4/8/2016,0.25,,,3/29/2016,0.5,4/8/2016,NA,0.37
19.118,3/30/2016,0.25,3/30/2016,0.5,4/11/2016,0.25,,,3/30/2016,0.5,4/11/2016,NA,0.37
19.071,3/31/2016,0.25,3/31/2016,0.5,4/12/2016,0.25,,,3/31/2016,0.5,4/12/2016,NA,0.37
19.637,4/1/2016,0.25,4/1/2016,0.5,4/13/2016,0.25,,,4/1/2016,0.5,4/13/2016,NA,0.37
19.728,4/2/2016,0.25,4/2/2016,0.5,4/14/2016,0.25,,,4/2/2016,0.5,4/14/2016,NA,0.37
18.871,4/3/2016,0.25,4/3/2016,0.5,4/15/2016,0.25,,,4/3/2016,0.5,4/15/2016,NA,0.37
18.614,4/4/2016,0.25,4/4/2016,0.5,4/18/2016,0.25,,,4/4/2016,0.5,4/18/2016,NA,0.37
20.327,4/5/2016,0.25,4/5/2016,0.5,4/19/2016,0.25,,,4/5/2016,0.5,4/19/2016,NA,0.37
20.036,4/6/2016,0.25,4/6/2016,0.5,4/20/2016,0.25,,,4/6/2016,0.5,4/20/2016,NA,0.37
19.786,4/7/2016,0.25,4/7/2016,0.5,4/21/2016,0.25,,,4/7/2016,0.5,4/21/2016,NA,0.37
20.334,4/8/2016,0.25,4/8/2016,0.5,4/22/2016,0.25,,,4/8/2016,0.5,4/22/2016,NA,0.37
21.011,4/9/2016,0.25,4/9/2016,0.5,4/25/2016,0.25,,,4/9/2016,0.5,4/25/2016,NA,0.37
19.892,4/10/2016,0.25,4/10/2016,0.5,4/26/2016,0.25,,,4/10/2016,0.5,4/26/2016,NA,0.37
20.214,4/11/2016,0.25,4/11/2016,0.5,4/27/2016,0.25,,,4/11/2016,0.5,4/27/2016,NA,0.37
19.035,4/12/2016,0.25,4/12/2016,0.5,4/28/2016,0.25,,,4/12/2016,0.5,4/28/2016,NA,0.37
19.422,4/13/2016,0.25,4/13/2016,0.5,4/29/2016,0.25,,,4/13/2016,0.5,4/29/2016,NA,0.3
21.717,4/14/2016,0.25,4/14/2016,0.5,5/2/2016,0.25,,,4/14/2016,0.5,5/2/2016,NA,0.37
20.951,4/15/2016,0.25,4/15/2016,0.5,5/3/2016,0.25,,,4/15/2016,0.5,5/3/2016,NA,0.37
20.566,4/16/2016,0.25,4/16/2016,0.5,5/4/2016,0.25,,,4/16/2016,0.5,5/4/2016,NA,0.37
20.919,4/17/2016,0.25,4/17/2016,0.5,5/5/2016,0.25,,,4/17/2016,0.5,5/5/2016,NA,0.37
21.506,4/18/2016,0.25,4/18/2016,0.5,5/6/2016,0.25,,,4/18/2016,0.5,5/6/2016,NA,0.37
22.338,4/19/2016,0.25,4/19/2016,0.5,5/9/2016,0.25,,,4/19/2016,0.5,5/9/2016,NA,0.37
20.816,4/20/2016,0.25,4/20/2016,0.5,5/10/2016,0.25,,,4/20/2016,0.5,5/10/2016,NA,0.37
20.351,4/21/2016,0.25,4/21/2016,0.5,5/11/2016,0.25,,,4/21/2016,0.5,5/11/2016,NA,0.37
23.995,4/22/2016,0.25,4/22/2016,0.5,5/12/2016,0.25,,,4/22/2016,0.5,5/12/2016,NA,0.37
23.137,4/23/2016,0.25,4/23/2016,0.5,5/13/2016,0.25,,,4/23/2016,0.5,5/13/2016,NA,0.37
22.5,4/24/2016,0.25,4/24/2016,0.5,5/16/2016,0.25,,,4/24/2016,0.5,5/16/2016,NA,0.37
20.027,4/25/2016,0.25,4/25/2016,0.5,5/17/2016,0.25,,,4/25/2016,0.5,5/17/2016,NA,0.37
20.734,4/26/2016,0.25,4/26/2016,0.5,5/18/2016,0.25,,,4/26/2016,0.5,5/18/2016,NA,0.37
20.257,4/27/2016,0.25,4/27/2016,0.5,5/19/2016,0.25,,,4/27/2016,0.5,5/19/2016,NA,0.37
19.599,4/28/2016,0.25,4/28/2016,0.5,5/20/2016,0.25,,,4/28/2016,0.5,5/20/2016,NA,0.37
20.176,4/29/2016,0.25,4/29/2016,0.5,5/23/2016,0.25,,,4/29/2016,0.5,5/23/2016,NA,0.37
21.253,4/30/2016,0.25,4/30/2016,0.5,5/24/2016,0.25,,,4/30/2016,0.5,5/24/2016,NA,0.37
23.652,5/1/2016,0.25,5/1/2016,0.5,5/25/2016,0.25,,,5/1/2016,0.5,5/25/2016,NA,0.37
21.171,5/2/2016,0.25,5/2/2016,0.5,5/26/2016,0.25,,,5/2/2016,0.5,5/26/2016,NA,0.37
21.658,5/3/2016,0.25,5/3/2016,0.5,5/27/2016,0.25,,,5/3/2016,0.5,5/27/2016,NA,0.37
21.266,5/4/2016,0.25,5/4/2016,0.5,5/30/2016,#N/A,,,5/4/2016,0.5,5/31/2016,NA,0.29
23.93,5/5/2016,0.25,5/5/2016,0.5,5/31/2016,0.25,,,5/5/2016,0.5,6/1/2016,NA,0.37
22.221,5/6/2016,0.25,5/6/2016,0.5,6/1/2016,0.25,,,5/6/2016,0.5,6/2/2016,NA,0.37
24.484,5/7/2016,0.25,5/7/2016,0.5,6/2/2016,0.25,,,5/7/2016,0.5,6/3/2016,NA,0.37
22.596,5/8/2016,0.25,5/8/2016,0.5,6/3/2016,0.25,,,5/8/2016,0.5,6/6/2016,NA,0.37
21.293,5/9/2016,0.25,5/9/2016,0.5,6/6/2016,0.25,,,5/9/2016,0.5,6/7/2016,NA,0.37
24.259,5/10/2016,0.25,5/10/2016,0.5,6/7/2016,0.25,,,5/10/2016,0.5,6/8/2016,NA,0.37
21.328,5/11/2016,0.25,5/11/2016,0.5,6/8/2016,0.25,,,5/11/2016,0.5,6/9/2016,NA,0.37
22.722,5/12/2016,0.25,5/12/2016,0.5,6/9/2016,0.25,,,5/12/2016,0.5,6/10/2016,NA,0.37
21.902,5/13/2016,0.25,5/13/2016,0.5,6/10/2016,0.25,,,5/13/2016,0.5,6/13/2016,NA,0.37
23.29,5/14/2016,0.25,5/14/2016,0.5,6/13/2016,0.25,,,5/14/2016,0.5,6/14/2016,NA,0.37
24.49,5/15/2016,0.25,5/15/2016,0.5,6/14/2016,0.25,,,5/15/2016,0.5,6/15/2016,NA,0.37
23.211,5/16/2016,0.25,5/16/2016,0.5,6/15/2016,0.25,,,5/16/2016,0.5,6/16/2016,NA,0.38
22.508,5/17/2016,0.25,5/17/2016,0.5,6/16/2016,0.25,,,5/17/2016,0.5,6/17/2016,NA,0.38
23.673,5/18/2016,0.25,5/18/2016,0.5,6/17/2016,0.25,,,5/18/2016,0.5,6/20/2016,NA,0.38
22.97,5/19/2016,0.25,5/19/2016,0.5,6/20/2016,0.25,,,5/19/2016,0.5,6/21/2016,NA,0.38
25.588,5/20/2016,0.25,5/20/2016,0.5,6/21/2016,0.25,,,5/20/2016,0.5,6/22/2016,NA,0.38
23.303,5/21/2016,0.25,5/21/2016,0.5,6/22/2016,0.25,,,5/21/2016,0.5,6/23/2016,NA,0.39
22.399,5/22/2016,0.25,5/22/2016,0.5,6/23/2016,0.25,,,5/22/2016,0.5,6/24/2016,NA,0.4
23.27,5/23/2016,0.25,5/23/2016,0.5,6/24/2016,0.25,,,5/23/2016,0.5,6/27/2016,NA,0.41
23.712,5/24/2016,0.25,5/24/2016,0.5,6/27/2016,0.25,,,5/24/2016,0.5,6/28/2016,NA,0.41
22.389,5/25/2016,0.25,5/25/2016,0.5,6/28/2016,0.25,,,5/25/2016,0.5,6/29/2016,NA,0.41
23.829,5/26/2016,0.25,5/26/2016,0.5,6/29/2016,0.25,,,5/26/2016,0.5,6/30/2016,NA,0.3
25.305,5/27/2016,0.25,5/27/2016,0.5,6/30/2016,0.25,,,5/27/2016,0.5,7/1/2016,NA,0.41
23.894,5/28/2016,0.25,5/28/2016,0.5,7/1/2016,0.25,,,5/28/2016,0.5,7/5/2016,NA,0.4
24.322,5/29/2016,0.25,5/29/2016,0.5,7/4/2016,#N/A,,,5/29/2016,0.5,7/6/2016,NA,0.4
25.7,5/30/2016,0.25,5/30/2016,0.5,7/5/2016,0.25,,,5/30/2016,0.5,7/7/2016,NA,0.4
25.935,5/31/2016,0.25,5/31/2016,0.5,7/6/2016,0.25,,,5/31/2016,0.5,7/8/2016,NA,0.4
25.152,6/1/2016,0.25,6/1/2016,0.5,7/7/2016,0.25,,,6/1/2016,0.5,7/11/2016,NA,0.4
24.4,6/2/2016,0.25,6/2/2016,0.5,7/8/2016,0.25,,,6/2/2016,0.5,7/12/2016,NA,0.4
26.056,6/3/2016,0.25,6/3/2016,0.5,7/11/2016,0.25,,,6/3/2016,0.5,7/13/2016,NA,0.4
25.697,6/4/2016,0.25,6/4/2016,0.5,7/12/2016,0.25,,,6/4/2016,0.5,7/14/2016,NA,0.4
25.539,6/5/2016,0.25,6/5/2016,0.5,7/13/2016,0.25,,,6/5/2016,0.5,7/15/2016,NA,0.4
27.207,6/6/2016,0.25,6/6/2016,0.5,7/14/2016,0.25,,,6/6/2016,0.5,7/18/2016,NA,0.4
25.274,6/7/2016,0.25,6/7/2016,0.5,7/15/2016,0.25,,,6/7/2016,0.5,7/19/2016,NA,0.4
27.903,6/8/2016,0.25,6/8/2016,0.5,7/18/2016,0.25,,,6/8/2016,0.5,7/20/2016,NA,0.4
26.093,6/9/2016,0.25,6/9/2016,0.5,7/19/2016,0.25,,,6/9/2016,0.5,7/21/2016,NA,0.4
27.562,6/10/2016,0.25,6/10/2016,0.5,7/20/2016,0.25,,,6/10/2016,0.5,7/22/2016,NA,0.4
27.484,6/11/2016,0.25,6/11/2016,0.5,7/21/2016,0.25,,,6/11/2016,0.5,7/25/2016,NA,0.4
28.326,6/12/2016,0.25,6/12/2016,0.5,7/22/2016,0.25,,,6/12/2016,0.5,7/26/2016,NA,0.4
27.574,6/13/2016,0.25,6/13/2016,0.5,7/25/2016,0.25,,,6/13/2016,0.5,7/27/2016,NA,0.4
27.558,6/14/2016,0.25,6/14/2016,0.5,7/26/2016,0.25,,,6/14/2016,0.5,7/28/2016,NA,0.4
29.218,6/15/2016,0.25,6/15/2016,0.5,7/27/2016,0.25,,,6/15/2016,0.5,7/29/2016,NA,0.3
25.966,6/16/2016,0.25,6/16/2016,0.5,7/28/2016,0.25,,,6/16/2016,0.5,8/1/2016,NA,0.4
23.461,6/17/2016,0.25,6/17/2016,0.5,7/29/2016,0.25,,,6/17/2016,0.5,8/2/2016,NA,0.4
24.463,6/18/2016,0.25,6/18/2016,0.5,8/1/2016,0.25,,,6/18/2016,0.5,8/3/2016,NA,0.4
23.437,6/19/2016,0.25,6/19/2016,0.5,8/2/2016,0.25,,,6/19/2016,0.5,8/4/2016,NA,0.4
25.982,6/20/2016,0.25,6/20/2016,0.5,8/3/2016,0.25,,,6/20/2016,0.5,8/5/2016,NA,0.4
24.042,6/21/2016,0.25,6/21/2016,0.5,8/4/2016,0.25,,,6/21/2016,0.5,8/8/2016,NA,0.4
26.959,6/22/2016,0.25,6/22/2016,0.5,8/5/2016,0.25,,,6/22/2016,0.5,8/9/2016,NA,0.4
27.251,6/23/2016,0.25,6/23/2016,0.5,8/8/2016,0.25,,,6/23/2016,0.5,8/10/2016,NA,0.4
27.033,6/24/2016,0.25,6/24/2016,0.5,8/9/2016,0.25,,,6/24/2016,0.5,8/11/2016,NA,0.4
26.462,6/25/2016,0.25,6/25/2016,0.5,8/10/2016,0.25,,,6/25/2016,0.5,8/12/2016,NA,0.4
29.035,6/26/2016,0.25,6/26/2016,0.5,8/11/2016,0.25,,,6/26/2016,0.5,8/15/2016,NA,0.4
27.545,6/27/2016,0.25,6/27/2016,0.5,8/12/2016,0.25,,,6/27/2016,0.5,8/16/2016,NA,0.4
27.69,6/28/2016,0.25,6/28/2016,0.5,8/15/2016,0.25,,,6/28/2016,0.5,8/17/2016,NA,0.4
31.14,6/29/2016,0.25,6/29/2016,0.5,8/16/2016,0.25,,,6/29/2016,0.5,8/18/2016,NA,0.4
27.534,6/30/2016,0.25,6/30/2016,0.5,8/17/2016,0.25,,,6/30/2016,0.5,8/19/2016,NA,0.4
29.809,7/1/2016,0.25,7/1/2016,0.5,8/18/2016,0.25,,,7/1/2016,0.5,8/22/2016,NA,0.4
27.933,7/2/2016,0.25,7/2/2016,0.5,8/19/2016,0.25,,,7/2/2016,0.5,8/23/2016,NA,0.4
27.838,7/3/2016,0.25,7/3/2016,0.5,8/22/2016,0.25,,,7/3/2016,0.5,8/24/2016,NA,0.4
27.413,7/4/2016,0.25,7/4/2016,0.5,8/23/2016,0.25,,,7/4/2016,0.5,8/25/2016,NA,0.4
29.635,7/5/2016,0.25,7/5/2016,0.5,8/24/2016,0.25,,,7/5/2016,0.5,8/26/2016,NA,0.4
29.352,7/6/2016,0.25,7/6/2016,0.5,8/25/2016,0.25,,,7/6/2016,0.5,8/29/2016,NA,0.4
30.972,7/7/2016,0.25,7/7/2016,0.5,8/26/2016,0.25,,,7/7/2016,0.5,8/30/2016,NA,0.4
28.957,7/8/2016,0.25,7/8/2016,0.5,8/29/2016,0.25,,,7/8/2016,0.5,8/31/2016,NA,0.3
29.28,7/9/2016,0.25,7/9/2016,0.5,8/30/2016,0.25,,,7/9/2016,0.5,9/1/2016,NA,0.4
30.681,7/10/2016,0.25,7/10/2016,0.5,8/31/2016,0.25,,,7/10/2016,0.5,9/2/2016,NA,0.4
31.825,7/11/2016,0.25,7/11/2016,0.5,9/1/2016,0.25,,,7/11/2016,0.5,9/6/2016,NA,0.4
28.978,7/12/2016,0.25,7/12/2016,0.5,9/2/2016,0.25,,,7/12/2016,0.5,9/7/2016,NA,0.4
30.161,7/13/2016,0.25,7/13/2016,0.5,9/5/2016,#N/A,,,7/13/2016,0.5,9/8/2016,NA,0.4
30.565,7/14/2016,0.25,7/14/2016,0.5,9/6/2016,0.25,,,7/14/2016,0.5,9/9/2016,NA,0.4
29.838,7/15/2016,0.25,7/15/2016,0.5,9/7/2016,0.25,,,7/15/2016,0.5,9/12/2016,NA,0.4
28.899,7/16/2016,0.25,7/16/2016,0.5,9/8/2016,0.25,,,7/16/2016,0.5,9/13/2016,NA,0.4
30.675,7/17/2016,0.25,7/17/2016,0.5,9/9/2016,0.25,,,7/17/2016,0.5,9/14/2016,NA,0.4
31.669,7/18/2016,0.25,7/18/2016,0.5,9/12/2016,0.25,,,7/18/2016,0.5,9/15/2016,NA,0.4
31.374,7/19/2016,0.25,7/19/2016,0.5,9/13/2016,0.25,,,7/19/2016,0.5,9/16/2016,NA,0.4
31.47,7/20/2016,0.25,7/20/2016,0.5,9/14/2016,0.25,,,7/20/2016,0.5,9/19/2016,NA,0.4
32.75,7/21/2016,0.25,7/21/2016,0.5,9/15/2016,0.25,,,7/21/2016,0.5,9/20/2016,NA,0.4
32.395,7/22/2016,0.25,7/22/2016,0.5,9/16/2016,0.25,,,7/22/2016,0.5,9/21/2016,NA,0.4
31.923,7/23/2016,0.25,7/23/2016,0.5,9/19/2016,0.25,,,7/23/2016,0.5,9/22/2016,NA,0.4
32.059,7/24/2016,0.25,7/24/2016,0.5,9/20/2016,0.25,,,7/24/2016,0.5,9/23/2016,NA,0.4
33.967,7/25/2016,0.25,7/25/2016,0.5,9/21/2016,0.25,,,7/25/2016,0.5,9/26/2016,NA,0.4
32.815,7/26/2016,0.25,7/26/2016,0.5,9/22/2016,0.25,,,7/26/2016,0.5,9/27/2016,NA,0.4
34.298,7/27/2016,0.25,7/27/2016,0.5,9/23/2016,0.25,,,7/27/2016,0.5,9/28/2016,NA,0.4
34.392,7/28/2016,0.25,7/28/2016,0.5,9/26/2016,0.25,,,7/28/2016,0.5,9/29/2016,NA,0.4
35.527,7/29/2016,0.25,7/29/2016,0.5,9/27/2016,0.25,,,7/29/2016,0.5,9/30/2016,NA,0.29
35.198,7/30/2016,0.25,7/30/2016,0.5,9/28/2016,0.25,,,7/30/2016,0.5,10/3/2016,NA,0.4
35.252,7/31/2016,0.25,7/31/2016,0.5,9/29/2016,0.25,,,7/31/2016,0.5,10/4/2016,NA,0.4
36.86,8/1/2016,0.25,8/1/2016,0.5,9/30/2016,0.25,,,8/1/2016,0.5,10/5/2016,NA,0.4
36.158,8/2/2016,0.25,8/2/2016,0.5,10/3/2016,0.25,,,8/2/2016,0.5,10/6/2016,NA,0.4
37.828,8/3/2016,0.25,8/3/2016,0.5,10/4/2016,0.25,,,8/3/2016,0.5,10/7/2016,NA,0.4
39.723,8/4/2016,0.25,8/4/2016,0.5,10/5/2016,0.25,,,8/4/2016,0.5,10/11/2016,NA,0.41
37.967,8/5/2016,0.25,8/5/2016,0.5,10/6/2016,0.25,,,8/5/2016,0.5,10/12/2016,NA,0.41
39.507,8/6/2016,0.25,8/6/2016,0.5,10/7/2016,0.25,,,8/6/2016,0.5,10/13/2016,NA,0.41
35.21,8/7/2016,0.25,8/7/2016,0.5,10/10/2016,#N/A,,,8/7/2016,0.5,10/14/2016,NA,0.41
35.323,8/8/2016,0.25,8/8/2016,0.5,10/11/2016,0.25,,,8/8/2016,0.5,10/17/2016,NA,0.41
33.11,8/9/2016,0.25,8/9/2016,0.5,10/12/2016,0.25,,,8/9/2016,0.5,10/18/2016,NA,0.41
32.983,8/10/2016,0.25,8/10/2016,0.5,10/13/2016,0.25,,,8/10/2016,0.5,10/19/2016,NA,0.41
34.98,8/11/2016,0.25,8/11/2016,0.5,10/14/2016,0.25,,,8/11/2016,0.5,10/20/2016,NA,0.41
32.514,8/12/2016,0.25,8/12/2016,0.5,10/17/2016,0.25,,,8/12/2016,0.5,10/21/2016,NA,0.41
35.002,8/13/2016,0.25,8/13/2016,0.5,10/18/2016,0.25,,,8/13/2016,0.5,10/24/2016,NA,0.41
35.729,8/14/2016,0.25,8/14/2016,0.5,10/19/2016,0.25,,,8/14/2016,0.5,10/25/2016,NA,0.41
34.468,8/15/2016,0.25,8/15/2016,0.5,10/20/2016,0.25,,,8/15/2016,0.5,10/26/2016,NA,0.41
35.148,8/16/2016,0.25,8/16/2016,0.5,10/21/2016,0.25,,,8/16/2016,0.5,10/27/2016,NA,0.41
36.309,8/17/2016,0.25,8/17/2016,0.5,10/24/2016,0.25,,,8/17/2016,0.5,10/28/2016,NA,0.41
36.399,8/18/2016,0.25,8/18/2016,0.5,10/25/2016,0.25,,,8/18/2016,0.5,10/31/2016,NA,0.31
36.939,8/19/2016,0.25,8/19/2016,0.5,10/26/2016,0.25,,,8/19/2016,0.5,11/1/2016,NA,0.41
40.556,8/20/2016,0.25,8/20/2016,0.5,10/27/2016,0.25,,,8/20/2016,0.5,11/2/2016,NA,0.41
34.474,8/21/2016,0.25,8/21/2016,0.5,10/28/2016,0.25,,,8/21/2016,0.5,11/3/2016,NA,0.41
40.736,8/22/2016,0.25,8/22/2016,0.5,10/31/2016,0.25,,,8/22/2016,0.5,11/4/2016,NA,0.41
36.248,8/23/2016,0.25,8/23/2016,0.5,11/1/2016,0.25,,,8/23/2016,0.5,11/7/2016,NA,0.41
36.443,8/24/2016,0.25,8/24/2016,0.5,11/2/2016,0.25,,,8/24/2016,0.5,11/8/2016,NA,0.41
35.863,8/25/2016,0.25,8/25/2016,0.5,11/3/2016,0.25,,,8/25/2016,0.5,11/9/2016,NA,0.41
36.207,8/26/2016,0.25,8/26/2016,0.5,11/4/2016,0.25,,,8/26/2016,0.5,11/10/2016,NA,0.41
37.577,8/27/2016,0.25,8/27/2016,0.5,11/7/2016,0.25,,,8/27/2016,0.5,11/14/2016,NA,0.41
36.811,8/28/2016,0.25,8/28/2016,0.5,11/8/2016,0.25,,,8/28/2016,0.5,11/15/2016,NA,0.41
35.748,8/29/2016,0.25,8/29/2016,0.5,11/9/2016,0.25,,,8/29/2016,0.5,11/16/2016,NA,0.41
35.331,8/30/2016,0.25,8/30/2016,0.5,11/10/2016,0.25,,,8/30/2016,0.5,11/17/2016,NA,0.41
39.109,8/31/2016,0.25,8/31/2016,0.5,11/11/2016,#N/A,,,8/31/2016,0.5,11/18/2016,NA,0.41
35.115,9/1/2016,0.25,9/1/2016,0.5,11/14/2016,0.25,,,9/1/2016,0.5,11/21/2016,NA,0.41
35.214,9/2/2016,0.25,9/2/2016,0.5,11/15/2016,0.25,,,9/2/2016,0.5,11/22/2016,NA,0.41
35.297,9/3/2016,0.25,9/3/2016,0.5,11/16/2016,0.25,,,9/3/2016,0.5,11/23/2016,NA,0.41
36.08,9/4/2016,0.25,9/4/2016,0.5,11/17/2016,0.25,,,9/4/2016,0.5,11/25/2016,NA,0.41
35.604,9/5/2016,0.25,9/5/2016,0.5,11/18/2016,0.25,,,9/5/2016,0.5,11/28/2016,NA,0.41
34.733,9/6/2016,0.25,9/6/2016,0.5,11/21/2016,0.25,,,9/6/2016,0.5,11/29/2016,NA,0.41
35.629,9/7/2016,0.25,9/7/2016,0.5,11/22/2016,0.25,,,9/7/2016,0.5,11/30/2016,NA,0.31
35.843,9/8/2016,0.25,9/8/2016,0.5,11/23/2016,0.25,,,9/8/2016,0.5,12/1/2016,NA,0.41
36.789,9/9/2016,0.25,9/9/2016,0.5,11/24/2016,#N/A,,,9/9/2016,0.5,12/2/2016,NA,0.41
37.527,9/10/2016,0.25,9/10/2016,0.5,11/25/2016,0.25,,,9/10/2016,0.5,12/5/2016,NA,0.41
36.214,9/11/2016,0.25,9/11/2016,0.5,11/28/2016,0.25,,,9/11/2016,0.5,12/6/2016,NA,0.41
34.716,9/12/2016,0.25,9/12/2016,0.5,11/29/2016,0.25,,,9/12/2016,0.5,12/7/2016,NA,0.41
39.01,9/13/2016,0.25,9/13/2016,0.5,11/30/2016,0.25,,,9/13/2016,0.5,12/8/2016,NA,0.41
38.421,9/14/2016,0.25,9/14/2016,0.5,12/1/2016,0.25,,,9/14/2016,0.5,12/9/2016,NA,0.41
34.924,9/15/2016,0.25,9/15/2016,0.5,12/2/2016,0.25,,,9/15/2016,0.5,12/12/2016,NA,0.41
39.365,9/16/2016,0.25,9/16/2016,0.5,12/5/2016,0.25,,,9/16/2016,0.5,12/13/2016,NA,0.41
37.355,9/17/2016,0.25,9/17/2016,0.5,12/6/2016,0.25,,,9/17/2016,0.5,12/14/2016,NA,0.41
37.038,9/18/2016,0.25,9/18/2016,0.5,12/7/2016,0.25,,,9/18/2016,0.5,12/15/2016,NA,0.66
38.033,9/19/2016,0.25,9/19/2016,0.5,12/8/2016,0.25,,,9/19/2016,0.5,12/16/2016,NA,0.66
36.187,9/20/2016,0.25,9/20/2016,0.5,12/9/2016,0.25,,,9/20/2016,0.5,12/19/2016,NA,0.66
37.991,9/21/2016,0.25,9/21/2016,0.5,12/12/2016,0.25,,,9/21/2016,0.5,12/20/2016,NA,0.66
38.969,9/22/2016,0.25,9/22/2016,0.5,12/13/2016,0.25,,,9/22/2016,0.5,12/21/2016,NA,0.66
37.591,9/23/2016,0.25,9/23/2016,0.5,12/14/2016,0.25,,,9/23/2016,0.5,12/22/2016,NA,0.66
